Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	54.8	800.1	22.2
2.2	54.8	1400.0	22.2
4.4	54.2	1400.0	22.2
6.5	55.3	1400.0	22.2
8.7	54.8	1400.0	22.2
10.8	54.8	1400.0	22.2
13.0	54.8	1400.0	22.2
15.1	54.8	900.0	22.2
17.3	54.8	1400.0	22.2
19.4	55.3	1400.0	22.1
21.6	54.8	1400.0	22.2
23.7	54.2	1400.0	22.2
25.9	55.3	1400.0	22.2
28.0	54.8	800.0	22.1
30.2	55.3	800.0	22.1
32.4	55.3	1400.0	22.2
34.5	54.8	1400.0	22.1
36.7	55.3	1400.0	22.1
38.8	54.8	1400.0	22.1
41.0	55.3	1400.0	22.1
43.1	54.2	600.0	22.2
45.3	55.3	1400.0	22.1
47.5	54.8	1400.0	22.1
49.6	55.8	1400.0	22.1
51.7	54.8	1400.0	22.1
53.9	54.8	1400.0	22.1
56.0	54.8	600.0	22.1
58.2	55.3	800.0	22.1
60.4	54.8	1400.0	22.1
62.6	55.3	1400.0	22.1
64.7	55.3	1400.0	22.2
66.8	55.3	1400.0	22.2
69.0	55.3	1400.0	22.1
71.1	54.8	800.0	22.1
73.3	54.8	1400.0	22.2
75.5	54.8	1400.0	22.1
77.6	54.8	1400.0	22.1
79.8	55.3	1400.0	22.1
81.9	54.8	1400.0	22.1
84.1	54.8	1400.0	22.1
86.2	55.3	800.0	22.1
88.4	54.8	1400.0	22.1
90.5	54.8	1400.0	22.1
92.7	54.8	1400.0	22.1
94.8	54.8	1400.0	22.1
97.0	55.3	1400.0	22.1
99.1	54.8	900.0	22.1
101.3	54.8	1400.0	22.1
103.5	54.8	1400.0	22.1
105.6	55.8	1400.0	22.1
107.8	54.8	1400.0	22.1
109.9	55.3	1400.0	22.1
112.0	54.8	1400.0	22.1
114.2	54.8	900.0	22.1
116.4	54.8	1400.0	22.1
118.5	54.8	600.0	22.1
120.7	54.8	600.0	22.1
122.9	54.8	1400.0	22.1
125.1	54.8	800.0	22.1
127.2	54.8	800.0	22.1
129.4	55.3	1400.0	22.1
131.6	55.3	1400.0	22.1
133.7	54.8	1400.0	22.1
135.9	54.8	1400.0	22.1
138.0	55.3	1400.0	22.1
140.2	54.8	600.0	22.1
142.3	55.3	800.0	22.1
144.5	54.8	1400.0	22.1
146.7	54.8	1400.0	22.1
148.8	54.8	1400.0	22.1
151.0	55.8	1400.0	22.1
153.1	54.8	600.0	22.1
155.3	54.8	800.0	22.1
157.5	55.3	1400.0	22.1
159.6	55.3	1400.0	22.1
161.8	54.8	1400.0	22.1
163.9	54.8	1400.0	22.1
166.1	54.8	1400.0	22.1
168.2	54.8	800.0	22.1
170.4	54.8	1400.0	22.1
172.6	54.8	1400.0	22.1
174.7	54.8	1400.0	22.1
176.9	54.8	1400.0	22.1
179.0	55.3	1400.0	22.1
181.1	54.8	600.0	22.1
183.3	54.8	800.0	22.1
185.5	55.3	1400.0	22.1
187.7	54.8	1400.0	22.1
189.8	54.8	1400.0	22.1
192.0	54.8	700.0	22.1
194.2	55.3	700.0	22.1
196.3	54.8	700.0	22.1
198.5	54.8	1400.0	22.1
200.7	54.8	1400.0	22.1
202.8	54.8	1400.0	22.1
205.0	54.8	1400.0	22.1
207.1	54.8	700.0	22.1
209.3	55.3	800.0	22.1
211.5	55.3	1000.0	22.1
213.6	54.8	1400.0	22.1
215.8	55.3	1400.0	22.1
217.9	54.2	800.0	22.1
220.1	54.8	1400.0	22.1
222.3	54.8	600.0	22.1
224.4	54.8	900.0	22.1
226.6	54.8	1400.0	22.1
228.8	54.8	1400.0	22.1
230.9	54.8	1400.0	22.1
233.1	55.8	1400.0	22.1
235.2	54.8	600.0	22.1
237.4	54.8	800.0	22.1
239.6	54.8	1400.0	22.1
241.7	55.3	1400.0	22.1
243.9	54.8	800.0	22.1
246.0	54.2	1400.0	22.1
248.2	55.3	1400.0	22.1
250.3	54.8	800.0	22.1
252.5	55.3	1400.0	22.1
254.7	54.8	1400.0	22.1
256.8	55.3	1400.0	22.1
259.0	54.8	800.0	22.1
261.2	55.3	1400.0	22.1
263.3	55.3	800.0	22.1
265.5	54.2	900.0	22.1
267.7	55.3	1400.0	22.1
269.8	54.8	1400.0	22.1
271.9	54.8	1400.0	22.1
274.1	54.8	1400.0	22.1
276.2	54.8	1400.0	22.1
278.4	54.8	700.0	22.1
280.6	55.3	1400.0	22.1
282.7	54.8	1400.0	22.1
284.9	54.8	1400.0	22.1
287.0	54.8	1400.0	22.1
289.2	54.8	1400.0	22.1
291.3	54.8	600.0	22.1
293.5	54.2	1400.0	22.1
295.7	54.8	1400.0	22.1
297.8	55.3	1400.0	22.1
300.0	54.8	600.0	22.2
302.2	55.8	600.0	22.1
304.5	55.8	600.0	22.2
306.9	56.4	600.0	22.1
309.3	56.9	600.0	22.2
311.6	56.9	600.0	22.2
313.9	56.9	600.0	22.1
316.2	56.9	600.0	22.1
318.6	56.9	600.0	22.1
320.9	56.9	600.0	22.1
323.2	57.5	600.0	22.1
325.5	58.0	600.0	22.1
327.9	58.0	600.0	22.1
330.2	58.0	600.0	22.1
332.5	58.0	600.0	22.1
334.8	58.0	1400.0	22.1
337.0	58.5	600.0	22.1
339.3	59.1	600.0	22.1
341.7	59.1	600.0	22.1
344.1	58.0	600.0	22.1
346.4	59.1	600.0	22.1
348.7	59.1	600.0	22.1
351.0	58.0	600.0	22.1
353.3	59.1	1400.0	22.1
355.6	59.1	600.0	22.1
358.0	59.1	600.0	22.1
360.3	58.5	600.0	22.1
362.7	59.1	600.0	22.1
365.0	59.6	600.0	22.1
367.3	59.1	600.0	22.1
369.6	59.6	600.0	22.1
372.0	59.1	600.0	22.1
374.3	59.1	600.0	22.1
376.6	60.1	600.0	22.1
379.0	59.1	1400.0	22.1
381.3	60.1	600.0	22.2
383.6	60.7	1200.0	22.1
385.9	61.2	1200.0	22.2
388.1	62.3	1200.0	22.1
390.3	60.7	600.0	22.2
392.7	61.2	1200.0	22.1
394.9	60.7	600.0	22.2
397.2	60.7	600.0	22.2
399.5	60.1	600.0	22.2
401.8	61.2	600.0	22.2
404.2	60.1	600.0	22.2
406.5	60.1	600.0	22.2
408.9	61.2	1200.0	22.2
411.1	61.2	600.0	22.2
413.5	60.7	600.0	22.2
415.8	62.3	1200.0	22.1
418.0	62.8	1200.0	22.1
420.2	62.8	600.0	22.1
422.5	61.2	600.0	22.1
424.8	62.3	1200.0	22.1
427.1	62.3	600.0	22.1
429.4	61.2	600.0	22.1
431.7	62.8	600.0	22.1
434.0	61.8	600.0	22.1
436.3	62.3	1200.0	22.1
438.5	62.8	1200.0	22.1
440.8	63.4	600.0	22.1
443.1	62.3	600.0	22.1
445.4	62.8	1200.0	22.1
447.6	62.8	600.0	22.1
450.0	61.8	600.0	22.1
452.2	62.3	600.0	22.1
454.6	62.3	600.0	22.1
457.0	61.2	1200.0	22.1
459.2	62.3	600.0	22.1
461.6	62.3	1200.0	22.1
463.8	61.8	600.0	22.1
466.1	62.8	1200.0	22.1
468.4	63.4	1200.0	22.1
470.6	64.5	1200.0	22.1
472.8	63.4	600.0	22.1
475.1	62.8	600.0	22.1
477.4	63.4	1200.0	22.1
479.7	64.5	1200.0	22.1
481.9	64.5	1200.0	22.1
484.2	63.9	600.0	22.1
486.5	63.4	1200.0	22.1
488.7	63.4	600.0	22.1
491.1	63.4	1200.0	22.1
493.4	63.4	600.0	22.1
