Time	CPU Temperature	CPU Frequency
0.0	59.4	1500.4
2.1	59.4	700.2
4.2	58.4	900.2
6.3	59.4	700.2
8.4	59.4	900.2
10.5	58.4	1500.3
12.6	58.4	1000.3
14.7	59.4	800.2
16.8	58.9	1000.3
18.8	59.4	600.1
21.0	59.9	800.2
23.1	59.4	900.2
25.2	58.4	700.2
27.3	59.9	1000.3
29.3	59.9	700.2
31.4	59.4	1500.4
33.5	59.4	900.2
35.6	58.9	800.2
37.7	59.9	1500.4
39.7	59.4	1000.3
41.8	59.9	700.2
43.9	59.4	1000.2
46.0	58.9	700.2
48.1	60.3	1000.3
50.2	59.4	700.2
52.3	59.9	800.2
54.4	59.9	700.2
56.5	59.9	1000.2
58.6	58.4	900.2
60.7	59.4	900.2
62.8	59.4	800.2
64.9	59.9	1000.2
67.0	59.4	700.2
69.1	59.9	900.2
71.2	59.4	700.2
73.3	59.4	900.2
75.4	59.4	700.2
77.5	59.9	1000.3
79.6	59.9	700.2
81.7	59.9	900.2
83.8	59.4	700.2
85.9	59.9	900.2
88.0	59.4	700.2
90.1	58.9	900.2
92.2	59.4	700.2
94.3	59.9	900.2
96.4	59.4	700.2
98.5	60.3	1000.2
100.6	59.4	700.2
102.7	59.4	1000.2
104.8	60.3	1500.3
106.9	60.3	700.2
109.0	60.3	1000.3
111.1	59.9	700.2
113.2	60.3	900.2
115.3	59.9	700.2
117.4	60.3	800.2
119.4	59.4	800.2
121.5	58.9	800.2
123.6	61.3	800.2
125.7	59.4	600.1
127.8	59.4	1000.3
129.9	60.8	600.1
132.0	59.9	800.2
134.1	59.9	600.1
136.2	59.9	800.2
138.3	60.3	900.2
140.4	60.3	800.2
142.5	59.4	600.2
144.6	60.3	700.2
146.7	60.3	900.2
148.8	59.4	800.2
150.9	60.3	900.2
153.0	60.8	800.2
155.1	59.4	600.1
157.2	59.9	800.2
159.3	59.9	1500.4
161.4	61.3	700.2
163.5	59.9	600.1
165.6	60.8	800.2
167.7	59.9	600.2
169.8	60.8	800.2
171.9	59.9	600.1
174.0	60.3	700.2
176.1	59.9	1000.3
178.2	59.9	700.2
180.3	60.3	900.2
182.4	60.8	700.2
184.5	59.4	900.2
186.6	59.9	700.2
188.7	60.3	900.2
190.8	60.3	700.2
192.9	60.3	900.2
195.0	59.9	700.2
197.1	60.8	900.2
199.2	59.9	700.2
201.3	59.9	900.2
203.4	60.3	700.2
205.5	60.3	900.2
207.6	60.8	700.2
209.7	58.9	900.2
211.8	60.3	700.2
213.9	60.8	900.2
216.0	60.3	800.2
218.1	59.9	900.2
220.2	59.4	700.2
222.3	60.3	600.2
224.4	61.3	800.2
226.5	60.3	1000.3
228.6	60.3	700.2
230.7	60.3	900.2
232.8	59.9	700.2
234.9	60.8	900.2
237.0	60.8	700.2
239.1	59.9	1000.3
241.2	60.3	700.2
243.3	60.8	900.2
245.4	60.8	800.2
247.5	59.9	900.2
249.6	60.3	700.2
251.7	60.8	900.2
253.8	60.3	700.2
255.9	60.3	900.2
258.0	59.4	700.2
260.1	60.3	900.2
262.2	60.3	700.2
264.3	59.9	900.2
266.4	59.9	800.2
268.5	59.9	600.1
270.6	60.3	800.2
272.7	60.8	700.2
274.8	59.9	900.2
276.9	60.8	700.2
279.0	60.8	700.2
281.1	60.3	600.1
283.2	61.8	800.2
285.3	60.8	600.2
287.4	61.8	800.2
289.5	61.8	1500.3
291.5	59.9	700.2
293.6	60.3	800.2
295.7	61.3	600.1
297.8	59.9	800.2
299.9	60.3	600.2
302.0	64.2	1500.4
304.1	66.2	1500.3
306.3	67.2	1500.3
308.4	67.2	1500.4
310.5	68.6	1500.4
312.6	69.6	1500.3
314.8	70.1	1500.4
316.9	70.1	1500.3
319.0	70.6	1500.3
321.2	71.1	1500.4
323.3	70.6	1500.4
325.4	71.1	1500.3
327.5	71.1	1500.3
329.7	71.5	1500.4
331.8	72.0	1500.3
333.9	72.5	1500.4
336.0	72.5	1500.3
338.1	73.5	1500.3
340.3	72.5	1500.3
342.4	72.0	1500.3
344.5	73.5	1500.3
346.6	74.5	1500.4
348.8	74.5	1500.3
350.9	75.0	1500.3
353.0	73.5	1500.3
355.2	75.0	1500.3
357.3	74.0	1500.3
359.4	75.4	1500.4
361.5	75.0	1500.4
363.6	75.4	1500.3
365.7	75.4	1500.3
367.8	76.4	1500.4
370.0	75.4	1500.3
372.1	75.4	1500.3
374.2	75.4	1500.4
376.4	76.4	1500.3
378.5	76.4	1500.4
380.6	76.4	1500.4
382.7	76.4	1500.3
384.8	77.4	1500.3
387.0	76.9	1500.4
389.1	77.9	1500.3
391.2	77.9	1500.4
393.3	77.9	1500.4
395.4	77.4	1500.4
397.6	77.4	1500.4
399.7	78.4	1500.4
401.8	77.9	1500.4
403.9	78.4	1500.4
406.1	77.9	1500.3
408.2	77.9	1500.3
410.3	78.4	1500.3
412.4	78.4	1500.3
414.5	78.8	1500.4
416.6	78.4	1500.4
418.7	78.4	1500.4
420.8	78.4	1500.4
422.9	79.8	1500.3
425.1	79.3	1500.4
427.2	78.8	1500.3
429.3	79.3	1500.4
431.4	78.8	1500.3
433.5	78.8	1500.4
435.7	79.8	1500.3
437.8	78.8	1500.4
439.9	80.3	1500.3
442.0	79.3	1500.3
444.1	80.3	1500.3
446.3	80.3	1500.4
448.4	79.8	1500.3
450.5	80.3	1500.3
452.6	80.8	1500.4
454.8	80.8	1500.3
456.9	81.3	1500.3
459.0	80.8	1500.3
461.1	80.8	1500.3
463.2	80.3	1500.4
465.3	80.3	1500.3
467.4	81.8	1500.3
469.6	80.8	1500.3
471.7	80.8	1500.4
473.8	80.8	1500.3
475.9	80.8	1500.4
478.0	81.8	1500.3
480.1	81.3	1500.4
482.2	80.8	1500.4
484.4	82.3	1500.3
486.5	80.8	1500.3
488.6	80.8	1500.3
490.8	81.8	1500.3
492.9	82.3	1500.3
495.0	81.8	1000.3
497.1	82.3	1500.3
499.2	81.3	1500.3
501.4	81.3	1500.3
503.5	81.8	1000.2
505.6	81.8	1500.3
507.7	81.3	1500.4
509.9	81.3	1500.4
512.0	81.8	1000.2
514.1	81.8	1500.4
516.2	80.8	1500.3
518.4	81.3	1500.4
520.5	81.8	1000.2
522.6	82.3	1000.3
524.8	81.3	1500.4
526.9	81.8	1500.4
529.0	81.8	1500.4
531.1	81.3	1500.3
533.2	82.3	1500.4
535.4	81.3	1500.3
537.5	81.8	1500.4
539.6	82.3	1000.3
541.8	81.3	1000.2
543.9	82.7	1000.3
546.0	81.8	1500.3
548.2	81.3	1500.3
550.3	82.3	1500.4
552.4	81.8	1500.3
554.6	82.3	1500.4
556.7	81.8	1000.3
558.8	81.8	1500.4
560.9	82.7	1500.4
563.1	80.3	1000.3
565.2	82.7	1000.2
567.3	81.8	1000.2
569.5	81.3	1500.4
571.6	81.8	1500.4
573.7	81.8	1000.2
575.8	82.3	1500.3
578.0	81.8	1500.4
580.1	82.3	1500.4
582.2	81.3	1000.3
584.3	80.8	1000.3
586.5	81.3	1500.3
588.6	81.8	1500.4
590.8	82.3	1000.3
592.9	81.3	1500.3
595.0	80.8	1500.3
597.2	80.8	1000.2
599.3	81.8	1500.3
601.4	82.3	1500.4
603.5	82.3	1000.3
605.7	83.2	1500.3
607.8	82.3	1000.2
609.9	81.8	1000.2
612.1	82.7	1000.3
614.2	82.3	1000.3
616.4	82.7	1000.3
618.5	81.8	1500.3
620.6	81.3	1500.3
622.8	81.8	1500.4
624.9	82.3	1000.3
627.0	82.7	1000.3
629.2	82.7	1500.3
631.3	81.8	1000.3
633.5	82.7	1000.3
635.6	83.2	1500.3
637.7	81.8	1000.3
639.9	82.7	1000.3
642.0	82.3	1500.4
644.2	82.3	1500.3
646.3	82.3	1500.4
648.4	81.3	1500.4
650.5	82.3	1000.2
652.7	81.8	1000.2
654.8	81.8	1500.4
657.0	81.3	1000.2
659.1	83.2	1000.3
661.3	83.2	1000.3
663.4	82.7	1000.3
665.6	82.3	1000.3
667.7	81.8	1500.3
669.8	82.7	1000.3
672.0	83.7	1000.2
674.2	81.3	1000.3
676.3	81.8	1000.2
678.4	81.8	1500.3
680.6	82.7	1000.3
682.7	82.7	1500.4
684.8	82.7	1000.2
687.0	83.2	1000.3
689.1	82.7	1000.2
691.3	82.7	1000.3
693.5	82.3	1000.3
695.6	82.7	1000.2
697.8	82.7	1000.2
699.9	82.3	1500.4
702.1	82.3	1000.2
704.2	82.3	1000.3
706.4	83.2	1000.2
708.5	82.7	1000.3
710.7	82.3	1500.3
712.8	81.8	1000.2
715.0	82.3	1000.3
717.1	82.3	1000.2
719.3	83.2	1000.3
721.5	81.8	1000.2
723.6	81.8	1000.3
725.8	81.8	1000.3
727.9	83.2	1500.3
730.1	82.3	1000.2
732.2	81.8	1500.3
734.3	82.3	1000.2
736.5	82.3	1000.2
738.6	83.2	1000.3
740.8	83.2	1000.3
742.9	82.3	1000.2
745.1	82.3	1000.3
747.2	83.2	1500.4
749.3	82.3	1000.3
751.5	81.8	1000.3
753.6	81.8	1000.2
755.8	82.7	1000.2
757.9	82.3	1000.3
760.1	82.7	1000.2
762.3	82.3	1000.2
764.4	83.7	1500.3
766.5	82.3	1000.2
768.7	83.2	1000.3
770.8	81.8	1500.3
772.9	82.3	1000.2
775.1	82.7	1000.3
777.2	81.8	1500.3
779.4	82.3	1000.3
781.5	81.8	1000.2
783.7	82.7	1000.2
785.8	84.2	1000.2
788.0	83.7	1000.3
790.1	82.3	1500.3
792.3	83.2	1500.3
794.4	82.3	1000.3
796.5	82.7	1500.4
798.7	83.2	1000.3
800.8	81.8	1500.3
802.9	82.7	1000.2
805.1	82.7	1000.2
807.2	81.8	1000.3
809.4	82.7	1000.3
811.5	82.7	1000.3
813.7	82.7	1000.3
815.8	82.3	1000.2
818.0	83.7	1000.2
820.1	83.7	1500.3
822.3	82.7	1000.3
824.4	82.3	1000.3
826.6	83.2	1500.4
828.7	82.7	1500.3
830.9	82.7	1500.3
833.0	82.7	1000.3
835.2	82.7	1000.2
837.4	83.2	1000.3
839.5	83.2	1000.3
841.7	82.7	1000.3
843.8	82.7	1000.3
846.0	82.7	1000.3
848.1	82.3	1000.2
850.3	82.3	1000.3
852.5	82.3	1000.2
854.6	82.7	1500.3
856.7	83.2	1000.3
858.9	82.3	1000.3
861.0	82.7	1000.3
863.2	82.7	1000.3
865.3	81.8	1000.3
867.5	82.3	1000.3
869.6	83.2	1000.3
871.8	82.7	1000.3
874.0	81.8	1000.2
876.1	83.7	1000.2
878.2	83.2	1000.3
880.4	82.7	1000.3
882.5	82.7	1000.3
884.7	83.7	1000.2
886.9	82.3	1000.3
889.0	82.7	1000.2
891.1	83.2	1000.3
893.3	83.2	1000.3
895.4	84.2	1000.3
897.6	83.2	1000.2
899.8	82.3	1000.2
901.9	82.7	1000.3
904.1	82.3	1000.2
906.2	83.2	1000.3
908.4	82.3	1000.2
910.5	83.7	1000.2
912.7	82.7	1000.3
914.8	83.7	1000.2
917.0	81.8	1000.3
919.1	82.7	1000.2
921.2	82.7	1000.2
923.4	84.2	1000.2
925.5	83.7	1000.2
927.7	81.8	1000.3
929.8	81.8	1000.3
932.0	83.2	1000.2
934.2	82.7	1000.2
936.3	83.2	1000.2
938.4	82.7	1000.2
940.6	83.2	1000.3
942.7	82.3	1000.3
944.9	83.7	1000.3
947.1	82.7	1000.3
949.2	82.7	1000.2
951.4	83.2	1000.2
953.5	83.2	1000.3
955.7	83.2	1000.2
957.8	83.7	1000.3
960.0	83.7	1000.3
962.2	83.2	1000.3
964.3	82.3	1000.3
966.5	84.2	1000.3
968.6	83.2	1000.3
970.8	82.7	1000.2
972.9	82.3	1000.3
975.1	83.2	1000.3
977.2	83.2	1000.3
979.4	83.2	1000.3
981.6	83.7	1000.3
983.7	83.2	1000.3
985.9	82.3	1000.3
988.1	83.7	1000.2
990.2	83.2	1000.3
992.4	83.7	1000.2
994.5	83.2	1000.3
996.7	83.2	1000.3
998.8	82.7	1000.2
1001.0	82.3	1000.3
1003.1	82.7	1000.2
1005.2	83.2	1000.2
1007.4	82.3	1000.3
1009.5	83.7	1000.3
1011.7	82.3	1000.3
1013.9	83.2	1000.3
1016.0	83.2	1000.3
1018.2	83.2	1000.2
1020.3	83.2	1000.3
1022.5	83.2	1000.3
1024.6	82.7	1000.2
1026.8	82.3	1000.3
1028.9	83.2	1000.3
1031.0	82.7	1000.2
1033.2	84.2	1000.3
1035.4	83.7	1000.3
1037.5	83.2	1000.3
1039.7	82.3	1000.3
1041.8	83.7	1000.2
1044.0	83.2	1000.3
1046.1	83.7	1000.3
1048.3	83.2	1000.3
1050.4	83.7	1000.3
1052.6	83.2	1000.3
1054.7	84.2	1000.2
1056.9	83.2	1500.4
1059.0	83.7	1000.3
1061.2	83.7	1000.3
1063.3	83.7	1000.3
1065.5	83.2	1000.3
1067.6	83.2	1000.2
1069.8	84.2	1000.2
1071.9	83.7	1000.3
1074.1	83.7	1000.3
1076.2	82.7	1000.3
1078.4	83.7	1000.2
1080.6	84.2	1000.2
1082.7	83.7	1000.3
1084.9	83.2	1000.3
1087.0	83.7	1000.3
1089.2	83.7	1000.3
1091.3	83.7	1000.2
1093.5	83.7	1000.3
1095.6	84.2	1000.3
1097.7	82.7	1000.2
1099.9	83.7	1000.2
1102.0	83.7	1000.2
1104.2	84.7	1000.3
1106.3	83.2	1000.3
1108.5	83.2	1000.2
1110.6	83.7	1000.2
1112.8	83.7	1000.2
1114.9	83.2	1000.3
1117.1	84.2	1000.3
1119.2	83.2	1000.3
1121.3	84.2	1000.2
1123.5	83.2	1000.3
1125.6	83.7	1000.3
1127.8	83.7	1000.2
1129.9	83.2	1000.3
1132.1	83.2	1000.3
1134.3	83.2	1000.3
1136.4	84.7	1000.3
1138.6	83.2	1000.3
1140.7	84.2	1000.2
1142.9	83.2	1000.3
1145.0	83.7	1000.2
1147.2	83.7	1000.3
1149.4	83.2	1000.3
1151.5	83.7	1000.3
1153.6	83.7	1000.3
1155.8	84.7	1000.2
1157.9	84.2	1000.3
1160.1	83.2	1000.3
1162.2	84.2	1000.3
1164.4	83.7	1000.3
1166.5	83.7	1000.3
1168.7	84.7	1000.3
1170.9	84.2	1000.3
1173.0	83.7	1000.3
1175.2	83.7	1000.2
1177.3	85.2	1000.3
1179.5	83.2	1000.3
1181.6	84.2	1000.2
1183.8	83.7	1000.2
1185.9	84.2	600.2
1188.1	83.7	1000.3
1190.3	84.2	1000.2
1192.4	83.7	1000.3
1194.5	83.7	1000.2
1196.7	83.7	1000.2
1198.8	83.7	1000.3
1201.0	82.7	800.2
1203.1	80.8	700.2
1205.2	80.3	900.2
1207.3	80.3	700.2
1209.4	79.3	900.2
1211.5	78.4	800.2
1213.6	78.4	900.2
1215.7	78.8	600.2
1217.8	78.4	1500.3
1219.8	78.4	700.2
1221.9	78.4	800.2
1224.0	77.9	900.2
1226.1	77.4	700.2
1228.2	77.4	600.2
1230.3	78.4	600.2
1232.4	77.4	1500.3
1234.5	76.9	600.1
1236.6	77.4	1500.3
1238.7	77.4	900.2
1240.8	76.4	1500.4
1242.8	77.4	700.2
1244.9	76.4	900.2
1247.0	77.4	700.2
1249.1	76.9	1500.3
1251.2	75.9	1500.3
1253.2	76.4	800.2
1255.3	76.4	600.1
1257.4	76.9	800.2
1259.5	75.9	800.2
1261.6	75.9	1500.3
1263.7	76.4	900.2
1265.8	76.4	700.2
1267.9	75.4	900.2
1269.9	75.4	700.2
1272.1	75.4	800.2
1274.2	76.4	700.2
1276.3	75.4	1000.3
1278.4	74.5	600.1
1280.5	75.4	800.2
1282.6	75.0	600.1
1284.7	74.5	800.2
1286.8	74.5	600.2
1288.9	76.4	800.2
1291.0	75.4	1000.3
1293.1	74.5	700.2
1295.2	75.4	900.2
1297.3	75.4	1000.3
1299.4	75.9	1000.3
1301.5	74.0	700.2
1303.6	75.9	900.2
1305.7	74.0	700.2
1307.8	75.9	900.2
1309.9	74.5	700.2
1312.0	74.0	900.2
1314.1	74.5	700.2
1316.2	74.5	900.2
1318.3	73.5	700.2
1320.4	74.5	900.2
1322.5	74.0	700.2
1324.6	75.4	900.2
1326.7	75.0	700.2
1328.8	74.5	900.2
1330.9	74.0	700.2
1333.0	74.0	900.2
1335.1	74.5	700.2
1337.2	74.0	900.2
1339.3	73.5	700.2
1341.4	73.0	900.2
1343.5	74.0	800.2
1345.6	73.5	600.2
1347.7	73.0	900.2
1349.8	74.5	900.2
1351.9	73.5	700.2
1354.0	73.0	700.2
1356.1	72.5	900.2
1358.1	74.0	1000.2
1360.2	73.0	700.2
1362.4	74.5	1000.3
1364.5	74.0	800.2
1366.5	73.5	600.2
1368.7	74.0	800.2
1370.8	72.5	600.1
1372.9	73.5	800.2
1375.0	73.5	600.2
1377.1	74.0	800.2
1379.2	73.0	600.2
1381.2	73.0	800.2
1383.3	73.5	700.2
1385.4	74.0	700.2
1387.5	73.0	600.2
1389.6	73.0	800.2
1391.7	73.5	900.2
1393.8	74.0	800.2
1395.9	72.5	600.2
1398.1	73.0	800.2
1400.1	73.0	600.1
1402.2	72.5	800.2
1404.3	72.0	600.2
1406.4	72.5	800.2
1408.5	73.5	600.2
1410.6	73.0	800.2
1412.7	71.5	700.2
1414.8	73.0	800.2
1416.9	72.5	700.2
1419.0	72.5	700.2
1421.1	72.0	900.2
1423.2	72.0	700.2
1425.3	72.0	900.2
1427.4	72.0	700.2
1429.5	73.0	900.2
1431.6	73.5	700.2
1433.7	72.5	1500.4
1435.8	73.0	800.2
1437.9	73.0	800.2
1440.0	71.5	800.2
1442.1	71.5	600.1
1444.2	72.5	800.2
1446.3	71.5	600.2
1448.4	72.5	800.2
1450.5	72.0	900.2
1452.6	71.1	1500.3
1454.7	72.0	700.2
1456.8	72.0	800.2
1458.9	72.5	600.1
1461.0	71.5	700.2
1463.1	73.0	700.2
1465.2	73.0	700.2
1467.3	72.5	1000.3
1469.4	72.5	700.2
1471.5	70.6	900.2
1473.6	72.5	700.2
1475.7	72.5	800.2
1477.8	72.0	900.2
1479.9	73.0	700.2
1482.0	71.5	800.2
1484.1	72.0	700.2
1486.2	71.5	900.2
1488.3	73.0	900.2
1490.3	72.5	600.2
1492.5	71.1	800.2
1494.6	70.6	600.2
1496.7	71.5	900.2
1498.7	71.5	600.2
