Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	35.5	1000.2	24.3
2.1	35.5	1000.2	24.3
4.3	35.5	800.2	24.3
6.4	35.5	800.2	24.3
8.5	34.0	1000.3	24.3
10.7	35.5	800.2	24.3
12.8	35.5	700.2	24.4
14.9	34.5	1500.3	24.4
17.1	36.0	900.2	24.4
19.2	35.5	1000.3	24.4
21.3	35.0	800.2	24.4
23.4	35.0	900.2	24.4
25.6	35.0	1000.3	24.4
27.7	36.5	900.2	24.4
29.8	35.5	900.2	24.4
32.0	35.0	1000.2	24.5
34.1	35.5	800.2	24.5
36.2	35.0	1000.2	24.5
38.4	35.5	900.2	24.5
40.5	35.0	800.2	24.6
42.6	36.0	1000.2	24.6
44.8	35.0	900.2	24.6
46.9	35.5	800.2	24.6
49.0	36.5	800.2	24.6
51.2	35.0	800.2	24.7
53.3	35.0	800.2	24.7
55.4	36.0	800.2	24.7
57.5	35.0	1000.3	24.7
59.7	36.0	1000.3	24.8
61.8	34.5	800.2	24.8
63.9	35.0	800.2	24.8
66.1	35.5	800.2	24.8
68.2	34.5	800.2	24.8
70.3	35.5	800.2	24.8
72.5	35.0	900.2	24.7
74.6	36.5	1000.2	24.7
76.7	35.5	800.2	24.7
78.9	36.5	1000.3	24.7
81.0	35.5	1000.2	24.7
83.1	36.0	800.2	24.6
85.3	35.5	1000.3	24.6
87.4	36.0	900.2	24.6
89.5	35.0	800.2	24.6
91.6	35.5	700.2	24.6
93.8	36.0	800.2	24.7
95.9	35.5	700.2	24.7
98.0	35.5	900.2	24.7
100.2	35.5	800.2	24.7
102.3	35.5	900.2	24.7
104.4	35.5	1000.3	24.7
106.6	35.5	1000.2	24.7
108.7	35.0	800.2	24.7
110.8	35.5	800.2	24.7
112.9	36.0	1000.2	24.7
115.0	35.5	700.2	24.7
117.2	36.0	1000.2	24.6
119.3	35.5	1000.2	24.6
121.4	36.0	700.2	24.5
123.6	36.0	900.2	24.5
125.7	35.5	900.2	24.5
127.8	36.5	700.2	24.4
130.0	34.5	900.2	24.4
132.1	35.5	800.2	24.4
134.2	36.5	800.2	24.4
136.3	35.5	1000.2	24.4
138.5	35.5	1000.2	24.4
140.6	35.5	800.2	24.4
142.7	35.5	900.2	24.4
144.9	36.0	700.2	24.5
147.0	36.5	1000.3	24.5
149.1	35.5	900.2	24.5
151.3	35.5	900.2	24.5
153.4	35.5	700.2	24.5
155.5	36.0	800.2	24.6
157.7	36.0	700.2	24.6
159.8	35.5	1500.4	24.6
161.9	36.5	800.2	24.6
164.0	34.5	700.2	24.7
166.2	36.0	900.2	24.7
168.3	35.5	900.2	24.7
170.4	36.5	1000.2	24.7
172.6	35.5	1000.2	24.7
174.7	36.5	800.2	24.7
176.8	36.5	800.2	24.8
178.9	35.5	1000.2	24.8
181.1	36.0	800.2	24.8
183.2	35.0	800.2	24.8
185.3	35.5	1000.2	24.8
187.5	36.0	800.2	24.8
189.6	36.0	1500.4	24.8
191.7	35.5	1000.3	24.8
193.8	36.0	700.2	24.8
196.0	35.5	900.2	24.8
198.1	35.0	1500.3	24.8
200.2	35.5	800.2	24.8
202.3	35.0	900.2	24.8
204.5	35.5	1500.3	24.8
206.6	36.5	1000.3	24.7
208.7	35.5	1000.2	24.7
210.8	36.0	1000.2	24.6
213.0	35.5	1000.3	24.6
215.1	35.0	1000.3	24.6
217.2	36.0	1000.2	24.6
219.4	36.0	800.2	24.5
221.5	34.5	800.2	24.5
223.6	36.0	800.2	24.5
225.8	36.0	900.2	24.5
227.9	35.5	800.2	24.5
230.0	36.0	700.2	24.5
232.2	36.5	900.2	24.5
234.3	35.5	900.2	24.4
236.4	35.5	900.2	24.4
238.6	36.5	800.2	24.4
240.7	35.0	800.2	24.4
242.8	36.0	1000.2	24.4
245.0	36.0	1500.3	24.4
247.0	36.5	900.2	24.4
249.2	36.5	900.2	24.4
251.3	35.5	800.2	24.5
253.4	35.0	800.2	24.5
255.6	36.5	1500.3	24.5
257.7	36.5	1000.3	24.5
259.8	36.0	900.2	24.5
261.9	36.0	900.2	24.5
264.0	36.0	800.2	24.6
266.2	36.0	900.2	24.5
268.3	36.5	800.2	24.6
270.4	36.0	900.2	24.6
272.6	35.5	700.2	24.6
274.7	36.0	800.2	24.6
276.8	36.0	700.2	24.6
279.0	36.0	1000.2	24.7
281.1	36.0	800.2	24.7
283.2	36.0	700.2	24.7
285.4	36.0	900.2	24.7
287.5	35.0	1000.2	24.7
289.6	35.5	800.2	24.7
291.7	36.5	700.2	24.7
293.9	34.5	800.2	24.6
296.0	36.5	1000.3	24.6
298.1	35.0	800.2	24.7
300.3	36.5	1500.3	24.7
