Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	53.5	1000.3	24.0
2.1	52.1	900.2	24.0
4.3	53.5	900.2	24.0
6.4	53.5	1000.3	24.0
8.5	53.5	900.2	24.0
10.7	54.0	900.2	24.0
12.8	53.5	800.2	24.0
14.9	53.5	700.2	24.0
17.1	53.0	700.2	24.0
19.2	53.0	1000.3	24.0
21.3	52.5	800.2	24.0
23.5	53.0	1000.2	24.0
25.6	53.5	800.2	24.0
27.7	52.5	800.2	24.0
29.8	53.5	800.2	24.0
32.0	54.0	800.2	24.0
34.1	53.0	1000.2	24.0
36.3	54.0	800.2	24.0
38.4	53.0	700.2	24.1
40.5	53.0	1500.3	24.0
42.6	52.5	900.2	24.0
44.8	54.0	700.2	24.0
46.9	53.5	800.2	24.0
49.1	53.0	800.2	24.1
51.2	52.5	900.2	24.0
53.3	53.0	900.2	24.0
55.5	54.0	1000.3	24.0
57.6	53.0	700.2	24.0
59.7	53.0	1000.2	24.1
61.8	52.5	800.2	24.1
64.0	54.0	800.2	24.0
66.1	52.1	1000.3	24.1
68.2	52.1	900.2	24.1
70.4	53.0	900.2	24.1
72.5	53.5	1000.3	24.1
74.6	54.0	900.2	24.1
76.8	53.0	700.2	24.1
78.9	53.0	900.2	24.1
81.0	55.0	900.2	24.1
83.1	53.5	800.2	24.1
85.3	52.5	800.2	24.1
87.4	53.0	800.2	24.1
89.5	53.0	1000.2	24.1
91.7	53.0	800.2	24.1
93.8	53.5	800.2	24.1
95.9	53.5	1000.3	24.1
98.1	54.0	900.2	24.1
100.2	54.5	900.2	24.1
102.3	52.5	900.2	24.1
104.5	53.5	900.2	24.1
106.6	54.5	700.2	24.1
108.7	53.5	800.2	24.1
110.9	54.0	800.2	24.1
113.0	53.0	700.2	24.1
115.1	53.0	900.2	24.0
117.3	54.0	800.2	24.1
119.4	53.0	700.2	24.1
121.5	54.5	900.2	24.1
123.7	53.0	900.2	24.1
125.8	54.0	800.2	24.1
127.9	53.0	700.2	24.1
130.1	52.1	1500.3	24.1
132.2	53.5	900.2	24.1
134.3	53.5	1000.2	24.1
136.4	54.0	1000.2	24.1
138.6	52.5	800.2	24.1
140.7	52.5	1000.2	24.0
142.8	54.0	900.2	24.1
145.0	53.0	800.2	24.1
147.1	53.0	900.2	24.1
149.2	52.5	900.2	24.0
151.4	53.5	700.2	24.1
153.5	52.5	900.2	24.1
155.6	53.0	800.2	24.0
157.8	52.1	900.2	24.1
159.9	53.0	900.2	24.1
162.0	53.5	900.2	24.1
164.2	53.0	800.2	24.0
166.3	52.5	1000.3	24.0
168.4	52.5	1000.3	24.0
170.6	52.5	1000.3	24.0
172.7	52.5	800.2	24.0
174.8	52.5	1000.3	24.1
177.0	54.0	900.2	24.1
179.1	53.5	800.2	24.1
181.2	53.0	900.2	24.1
183.3	52.1	900.2	24.0
185.5	52.5	900.2	24.1
187.6	53.5	1000.3	24.1
189.7	53.0	900.2	24.0
191.9	53.0	1500.4	24.0
194.0	53.5	800.2	24.0
196.1	53.0	900.2	24.1
198.3	52.5	900.2	24.0
200.4	53.0	700.2	24.0
202.5	52.1	1000.2	24.1
204.6	52.5	700.2	24.0
206.8	52.5	700.2	24.1
208.9	54.0	900.2	24.0
211.1	53.0	800.2	24.1
213.2	53.0	1000.3	24.1
215.3	53.5	1000.3	24.0
217.5	52.5	800.2	24.1
219.6	52.1	700.2	24.1
221.7	52.5	900.2	24.1
223.9	53.5	900.2	24.1
226.0	53.0	700.2	24.1
228.1	53.0	1000.3	24.1
230.3	52.5	800.2	24.1
232.4	53.5	800.2	24.1
