Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	48.7	1500.3	20.3
2.1	48.2	800.2	20.4
4.3	47.2	900.2	20.4
6.4	47.7	1500.4	20.4
8.5	48.2	800.2	20.4
10.6	49.1	700.2	20.4
12.8	47.7	700.2	20.4
14.9	48.7	800.2	20.4
17.0	48.7	700.2	20.4
19.2	48.7	800.2	20.4
21.3	49.1	900.2	20.4
23.4	48.7	800.2	20.4
25.5	48.2	1000.3	20.4
27.7	48.7	800.2	20.4
29.8	49.6	800.2	20.4
31.9	49.1	800.2	20.4
34.1	49.1	1500.4	20.4
36.2	49.1	900.2	20.4
38.3	49.1	700.2	20.4
40.5	49.1	900.2	20.4
42.6	48.7	900.2	20.4
44.7	49.6	700.2	20.4
46.9	49.1	1000.3	20.4
49.0	48.7	900.2	20.4
51.1	49.6	800.2	20.4
53.2	49.1	800.2	20.4
55.4	49.1	900.2	20.4
57.5	49.6	800.2	20.4
59.6	49.6	900.2	20.4
61.8	48.7	1000.3	20.4
63.9	49.6	900.2	20.4
66.0	48.7	700.2	20.4
68.2	49.1	800.2	20.4
70.3	50.6	800.2	20.4
72.4	50.6	1000.3	20.4
74.5	50.1	900.2	20.4
76.7	50.1	900.2	20.4
78.8	49.1	800.2	20.3
80.9	50.6	700.2	20.4
83.0	48.7	900.2	20.4
85.2	49.6	800.2	20.3
87.3	50.1	1000.3	20.4
89.4	50.1	700.2	20.3
91.6	50.1	900.2	20.3
93.7	51.1	800.2	20.4
95.8	50.6	1000.2	20.3
98.0	50.1	800.2	20.3
100.1	49.6	800.2	20.3
102.2	50.1	1000.2	20.3
104.3	50.6	1000.2	20.3
106.5	50.1	700.2	20.3
108.6	50.1	1000.2	20.3
110.7	49.1	1000.2	20.3
112.9	50.1	700.2	20.3
115.0	50.1	1000.3	20.3
117.1	50.1	1000.3	20.3
119.3	49.6	700.2	20.3
121.4	50.6	800.2	20.3
123.5	50.6	700.2	20.3
125.7	51.6	900.2	20.3
127.8	50.1	800.2	20.3
129.9	51.6	1000.3	20.3
132.1	51.1	900.2	20.3
134.2	50.1	1000.2	20.3
136.3	50.6	800.2	20.3
138.4	50.6	900.2	20.3
140.6	51.1	800.2	20.3
142.7	50.6	1000.3	20.3
144.8	51.1	800.2	20.3
147.0	51.1	800.2	20.3
149.1	50.6	1000.3	20.3
151.2	50.6	700.2	20.3
153.4	51.6	1000.3	20.3
155.5	50.6	800.2	20.3
157.6	51.6	1000.2	20.3
159.8	52.1	800.2	20.3
161.9	51.1	800.2	20.3
164.0	50.1	900.2	20.3
166.1	51.1	700.2	20.3
168.3	50.6	900.2	20.3
170.4	52.1	800.2	20.3
172.5	51.1	800.2	20.3
174.6	51.1	1000.3	20.3
176.8	51.6	800.2	20.3
178.9	52.1	1000.3	20.3
181.0	50.6	800.2	20.3
183.2	51.1	800.2	20.3
185.3	51.1	900.2	20.3
187.4	51.6	700.2	20.3
189.6	51.1	900.2	20.3
191.7	51.6	800.2	20.3
193.8	51.1	800.2	20.3
195.9	51.6	800.2	20.3
198.1	51.6	800.2	20.3
200.2	52.1	800.2	20.3
202.3	51.6	700.2	20.3
204.5	51.1	900.2	20.3
206.6	52.1	800.2	20.3
208.7	51.1	800.2	20.3
210.9	51.6	800.2	20.3
213.0	50.6	700.2	20.3
215.1	51.6	700.2	20.3
217.3	52.1	800.2	20.3
219.4	51.6	700.2	20.3
221.5	52.1	700.2	20.3
223.7	52.1	800.2	20.3
225.8	52.5	1500.3	20.3
227.9	51.6	1000.2	20.3
230.1	53.0	800.2	20.3
232.2	52.1	800.2	20.3
234.3	52.5	800.2	20.3
236.4	52.1	800.2	20.3
238.6	52.1	900.2	20.3
240.7	52.5	800.2	20.3
242.8	51.6	800.2	20.3
245.0	51.6	900.2	20.3
247.1	51.1	700.2	20.3
249.2	51.6	900.2	20.3
251.4	52.1	800.2	20.3
253.5	51.1	800.2	20.3
255.6	53.0	700.2	20.3
257.8	51.1	900.2	20.3
259.9	52.5	1000.2	20.3
262.0	53.0	800.2	20.3
264.2	52.5	900.2	20.3
266.3	52.1	900.2	20.3
268.4	52.1	800.2	20.3
270.5	52.5	800.2	20.3
272.7	52.1	700.2	20.3
274.8	51.6	800.2	20.3
276.9	52.1	700.2	20.3
279.1	52.5	900.2	20.3
281.2	52.1	1000.3	20.3
283.3	52.1	700.2	20.3
285.5	52.1	900.2	20.3
287.6	52.5	1500.3	20.3
289.7	53.5	900.2	20.3
291.8	52.1	900.2	20.3
294.0	53.0	900.2	20.3
296.1	52.1	800.2	20.3
298.2	51.1	700.2	20.3
300.4	53.5	1500.3	20.3
302.5	55.5	1500.4	20.3
304.7	56.9	1500.3	20.3
306.8	58.4	1500.3	20.3
309.0	58.9	1500.4	20.3
311.2	60.3	1500.4	20.3
313.3	60.8	1500.4	20.3
315.5	60.8	1500.3	20.3
317.6	59.9	1500.4	20.3
319.8	61.3	1500.3	20.3
322.0	61.3	1500.4	20.3
324.1	62.8	1500.3	20.3
326.3	63.3	1500.3	20.3
328.4	63.7	1500.3	20.3
