Time	CPU Temperature	CPU Frequency
0.0	36.5	1500.3
2.1	36.0	700.2
4.2	37.4	1500.4
6.3	36.0	700.2
8.4	37.0	700.2
10.5	36.0	700.2
12.6	36.0	700.2
14.7	36.0	700.2
16.8	36.5	700.2
19.0	36.5	700.2
21.1	37.0	800.2
23.2	36.5	900.2
25.3	36.5	1500.3
27.4	35.5	900.2
29.5	35.5	900.2
31.6	36.0	1000.3
33.7	36.5	1500.3
35.8	36.5	700.2
37.9	36.5	800.2
40.0	37.0	900.2
42.1	35.5	900.2
44.3	35.5	1000.2
46.4	35.5	700.2
48.5	37.0	800.2
50.6	36.5	900.2
52.7	36.0	900.2
54.8	36.0	1000.3
56.9	36.0	1500.3
59.0	35.0	600.1
61.1	36.0	800.2
63.3	35.5	900.2
65.4	34.5	900.2
67.5	37.0	1000.2
69.6	36.0	900.2
71.7	36.0	1000.2
73.8	35.0	700.2
75.9	35.5	700.2
78.0	35.5	800.2
80.1	36.5	900.2
82.3	37.4	1000.2
84.4	36.0	1500.3
86.5	36.0	700.2
88.6	36.5	800.2
90.7	35.5	900.2
92.8	35.5	900.2
94.9	36.0	900.2
97.0	36.5	1500.3
99.2	36.0	800.2
101.3	37.0	800.2
103.4	36.0	900.2
105.5	35.5	900.2
107.6	35.5	900.2
109.7	35.0	1000.2
111.8	35.5	1500.3
113.9	35.5	1000.2
116.1	36.5	1500.3
118.1	35.5	1000.3
120.2	36.5	1000.3
122.4	36.0	800.2
124.5	36.0	1500.3
126.5	36.5	1500.3
128.6	36.5	900.2
130.7	35.5	1000.3
132.8	36.0	600.2
134.9	35.5	600.1
137.0	36.5	700.2
139.2	36.5	700.2
141.3	36.5	700.2
143.4	37.0	1500.3
145.5	35.5	900.2
147.6	36.0	900.2
149.7	37.0	900.2
151.8	35.5	900.2
153.9	36.5	900.2
156.0	36.5	1000.3
158.1	36.0	1500.4
160.2	36.0	700.2
162.4	36.0	800.2
164.5	36.0	800.2
166.6	36.5	1000.3
168.7	36.0	1500.3
170.8	35.0	700.2
172.9	36.0	800.2
175.0	35.5	800.2
177.1	35.5	900.2
179.3	35.5	900.2
181.4	37.0	900.2
183.5	37.0	900.2
185.6	35.5	1000.3
187.7	36.0	1000.3
189.8	36.0	1500.3
191.9	35.5	700.2
194.1	36.0	800.2
196.2	35.5	1500.3
198.2	35.5	700.2
200.3	35.5	800.2
202.5	35.5	800.2
204.6	35.0	900.2
206.7	35.0	1000.3
208.8	35.5	1000.3
210.9	36.0	1000.2
213.0	35.5	800.2
215.1	35.5	800.2
217.2	35.5	800.2
219.3	36.0	900.2
221.5	36.0	800.2
223.6	36.0	700.2
225.7	35.5	800.2
227.8	34.5	900.2
229.9	35.0	1500.4
232.0	35.0	700.2
234.1	35.0	800.2
236.2	36.5	1500.4
238.3	36.0	700.2
240.4	35.5	800.2
242.5	35.5	900.2
244.6	35.5	1500.3
246.7	35.5	1500.3
248.7	35.0	700.2
250.8	36.5	800.2
252.9	35.5	1000.2
255.0	35.5	1000.2
257.2	36.0	1000.3
259.3	36.0	1500.4
261.3	35.5	800.2
263.4	35.5	1000.2
265.5	36.0	1000.3
267.7	35.0	700.2
269.8	36.5	700.2
271.9	35.5	700.2
274.0	36.0	700.2
276.1	36.5	700.2
278.2	35.0	700.2
280.4	35.5	700.2
282.5	35.0	800.2
284.6	36.0	700.2
286.7	36.0	800.2
288.8	35.5	1000.2
290.9	35.5	1000.2
293.0	35.5	1000.2
295.2	36.5	700.2
297.3	36.5	1500.3
299.3	36.0	1500.3
301.5	38.4	1500.3
303.6	40.9	1500.4
305.7	41.3	1500.3
307.9	42.8	1500.3
310.0	43.3	1500.4
312.1	43.3	1500.3
314.3	43.8	1500.3
316.4	44.8	1500.4
318.6	44.3	1500.3
320.7	45.2	1500.4
322.8	45.2	1500.3
325.0	45.7	1500.4
327.1	45.2	1500.4
329.3	45.7	1500.3
331.4	45.7	1500.4
333.6	45.7	1500.4
335.7	46.2	1500.4
337.8	45.7	1500.4
340.0	46.7	1500.3
342.1	46.2	1500.4
344.2	46.7	1500.3
346.3	47.2	1500.3
348.5	47.7	1500.3
350.6	46.7	1500.4
352.8	47.7	1500.4
354.9	46.7	1500.3
357.1	47.7	1500.3
359.3	48.2	1500.3
361.4	48.2	1500.3
363.5	47.7	1500.3
365.7	48.7	1500.4
367.8	48.7	1500.3
370.0	48.7	1500.3
372.1	49.1	1500.3
374.3	48.7	1500.3
376.4	48.2	1500.3
378.5	48.7	1500.4
380.7	48.7	1500.4
382.8	49.6	1500.3
385.0	48.7	1500.3
387.1	49.6	1500.3
389.2	49.1	1500.3
391.4	49.1	1500.3
393.5	49.1	1500.4
395.6	49.6	1500.3
397.8	48.7	1500.4
399.9	48.2	1500.4
402.1	50.1	1500.4
404.2	49.6	1500.3
406.3	50.1	1500.3
408.5	49.6	1500.4
410.6	50.1	1500.3
412.8	50.1	1500.3
414.9	49.6	1500.4
417.1	49.1	1500.4
419.2	50.1	1500.3
421.4	49.1	1500.3
423.5	49.6	1500.4
425.6	50.1	1500.4
427.8	49.1	1500.4
429.9	49.6	1500.3
432.0	49.6	1500.4
434.2	50.1	1500.4
436.3	49.6	1500.3
438.5	50.1	1500.4
440.6	51.6	1500.3
442.7	50.1	1500.3
444.9	50.1	1500.3
447.0	49.1	1500.3
449.1	49.1	1500.4
451.3	51.1	1500.3
453.4	49.6	1500.3
455.6	50.1	1500.3
457.7	50.1	1500.4
459.8	51.1	1500.3
462.0	50.1	1500.4
464.1	49.6	1500.3
466.3	50.1	1500.4
468.4	49.6	1500.3
470.6	51.1	1500.3
472.7	49.6	1500.4
474.9	50.6	1500.3
477.0	51.1	1500.3
479.1	50.6	1500.3
481.3	50.1	1500.3
483.5	50.6	1500.3
485.6	50.1	1500.4
487.7	50.1	1500.3
489.9	50.6	1500.3
492.0	51.1	1500.3
494.1	51.1	1500.4
496.3	50.6	1500.3
498.4	51.1	1500.4
500.6	50.1	1500.3
502.7	51.1	1500.4
504.9	50.6	1500.3
507.0	51.1	1500.3
509.2	51.6	1500.3
511.3	50.6	1500.3
513.4	51.1	1500.3
515.5	50.6	1500.4
517.7	50.6	1500.3
519.8	50.6	1500.3
521.9	51.1	1500.3
524.1	50.6	1500.3
526.2	51.1	1500.3
528.3	51.6	1500.3
530.5	52.1	1500.4
532.6	51.1	1500.4
534.8	50.6	1500.3
536.9	51.1	1500.4
539.0	49.6	1500.3
541.2	51.6	1500.3
543.3	52.1	1500.4
545.5	50.6	1500.3
547.6	51.1	1500.4
549.7	51.1	1500.4
551.9	51.1	1500.3
554.0	51.1	1500.3
556.2	50.6	1500.3
558.3	50.1	1500.3
560.4	50.6	1500.3
562.6	51.6	1500.3
564.7	50.1	1500.4
566.9	50.6	1500.3
569.0	51.6	1500.4
571.1	50.6	1500.3
573.3	50.6	1500.3
575.4	50.1	1500.3
577.6	50.6	1500.3
579.7	51.6	1500.4
581.9	50.6	1500.4
584.0	50.6	1500.3
586.2	50.6	1500.4
588.3	51.1	1500.3
590.5	51.1	1500.4
592.6	51.1	1500.4
594.7	50.6	1500.3
596.9	50.6	1500.3
599.0	50.6	1500.3
601.2	51.1	1500.4
603.3	50.6	1500.4
605.4	51.1	1500.3
607.6	50.6	1500.4
609.7	50.1	1500.3
611.8	51.1	1500.3
614.0	50.1	1500.3
616.1	50.1	1500.4
618.2	50.6	1500.3
620.4	50.6	1500.3
622.5	50.1	1500.3
624.7	51.1	1500.3
626.8	50.1	1500.4
629.0	50.1	1500.4
631.1	50.1	1500.3
633.2	51.6	1500.4
635.4	51.6	1500.3
637.5	50.6	1500.3
639.7	50.6	1500.3
641.8	51.1	1500.3
643.9	51.1	1500.4
646.1	51.6	1500.3
648.2	51.1	1500.4
650.4	51.1	1500.3
652.5	51.1	1500.4
654.7	51.1	1500.3
656.8	50.6	1500.4
658.9	50.6	1500.4
661.1	51.6	1500.4
663.2	51.1	1500.3
665.4	50.6	1500.3
667.5	50.6	1500.3
669.6	51.1	1500.3
671.8	50.6	1500.3
673.9	51.1	1500.3
676.1	50.6	1500.4
678.2	51.6	1500.3
680.4	50.6	1500.3
682.5	51.6	1500.3
684.6	51.1	1500.3
686.8	50.6	1500.3
688.9	50.6	1500.3
691.1	51.1	1500.3
693.2	50.6	1500.4
695.3	51.1	1500.4
697.5	51.1	1500.3
699.6	51.1	1500.4
701.8	50.6	1500.3
703.9	50.6	1500.3
706.0	50.6	1500.3
708.2	50.6	1500.3
710.3	51.1	1500.3
712.5	51.6	1500.4
714.6	51.6	1500.4
716.8	50.1	1500.3
718.9	50.6	1500.3
721.0	50.1	1500.3
723.2	50.1	1500.3
725.4	51.1	1500.4
727.5	50.6	1500.3
729.6	50.6	1500.3
731.8	52.1	1500.3
733.9	51.1	1500.3
736.1	50.1	1500.3
738.2	51.1	1500.3
740.3	50.6	1500.4
742.5	50.6	1500.3
744.6	51.1	1500.3
746.7	50.1	1500.4
748.9	51.1	1500.4
751.0	50.6	1500.3
753.2	51.1	1500.3
755.3	51.1	1500.3
757.4	51.1	1500.3
759.6	50.6	1500.3
761.7	50.6	1500.3
763.9	50.6	1500.3
766.0	50.1	1500.3
768.2	50.1	1500.4
770.3	50.6	1500.3
772.5	51.6	1500.3
774.6	51.1	1500.4
776.7	51.6	1500.3
778.9	51.1	1500.3
781.0	51.1	1500.4
783.2	50.1	1500.3
785.3	52.1	1500.3
