Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	31.6	900.2	20.4
2.1	32.1	900.2	20.4
4.3	32.6	1000.2	20.4
6.4	31.6	800.2	20.4
8.6	31.6	800.2	20.4
10.7	31.6	1500.4	20.4
12.8	32.6	800.2	20.4
15.0	32.1	1000.3	20.4
17.1	32.1	1000.3	20.4
19.2	32.6	700.2	20.4
21.4	33.6	800.2	20.4
23.5	32.6	900.2	20.4
25.7	31.1	800.2	20.4
27.8	31.1	800.2	20.4
29.9	32.6	800.2	20.4
32.1	31.6	1000.3	20.4
34.2	31.6	900.2	20.4
36.4	31.6	900.2	20.4
38.5	32.6	800.2	20.4
40.6	32.6	900.2	20.4
42.8	31.1	900.2	20.4
44.9	32.1	1000.2	20.4
47.1	31.1	800.2	20.4
49.2	32.1	1000.2	20.4
51.3	32.1	1500.4	20.4
53.5	32.1	800.2	20.4
55.6	32.1	900.2	20.4
57.7	31.6	800.2	20.4
59.9	32.1	900.2	20.4
62.0	32.1	1500.4	20.4
64.2	31.6	800.2	20.4
66.3	32.1	900.2	20.4
68.4	31.6	800.2	20.4
70.6	32.6	900.2	20.4
72.7	32.1	900.2	20.4
74.9	31.1	1000.2	20.4
77.0	32.6	1000.3	20.4
79.1	32.1	900.2	20.4
81.3	32.1	900.2	20.4
83.4	32.6	900.2	20.4
85.6	32.1	1000.2	20.4
87.7	32.1	800.2	20.4
89.9	33.1	900.2	20.4
92.0	32.6	1000.3	20.4
94.1	32.6	900.2	20.4
96.3	32.1	1000.3	20.4
98.4	32.1	800.2	20.4
100.6	32.6	800.2	20.4
102.7	32.6	900.2	20.4
104.8	32.1	1000.2	20.4
107.0	31.6	1000.3	20.4
109.1	31.6	1000.3	20.4
111.2	31.1	1000.3	20.4
113.4	32.6	900.2	20.4
115.5	31.6	1000.2	20.5
117.7	32.1	1000.2	20.5
119.8	32.1	900.2	20.5
122.0	32.1	1500.3	20.4
124.1	32.1	900.2	20.5
126.2	31.1	800.2	20.5
128.4	32.1	800.2	20.5
130.5	32.6	900.2	20.5
132.7	31.6	1000.2	20.5
134.8	31.6	1000.2	20.5
136.9	32.6	800.2	20.4
139.1	32.1	1000.2	20.4
141.2	32.1	1000.3	20.4
143.4	31.6	1000.3	20.4
145.5	31.6	900.2	20.4
147.6	32.1	1000.2	20.4
149.8	32.6	900.2	20.4
151.9	32.1	800.2	20.4
154.1	32.6	1500.4	20.4
156.2	32.1	900.2	20.4
158.3	33.1	900.2	20.4
160.5	31.1	900.2	20.4
162.6	31.6	1500.4	20.4
164.7	32.6	900.2	20.4
166.8	31.6	900.2	20.4
169.0	32.1	900.2	20.4
171.1	32.1	900.2	20.4
173.3	31.6	1000.2	20.4
175.4	32.1	900.2	20.4
177.5	32.6	1000.3	20.4
179.7	31.6	800.2	20.4
181.8	31.6	900.2	20.4
184.0	32.6	800.2	20.4
186.1	31.6	1000.2	20.4
188.2	32.1	800.2	20.5
190.4	31.1	1000.3	20.4
192.5	32.1	700.2	20.4
194.7	31.1	1000.2	20.5
196.8	31.6	1000.3	20.5
198.9	32.1	800.2	20.5
201.1	31.6	900.2	20.5
203.2	31.1	900.2	20.5
205.4	32.1	900.2	20.5
207.5	31.6	900.2	20.5
209.7	31.6	1000.3	20.5
211.8	32.1	1500.3	20.5
213.9	32.6	900.2	20.5
216.1	32.1	1000.3	20.5
218.2	32.1	900.2	20.5
220.3	31.6	900.2	20.5
222.5	32.1	1000.3	20.5
224.6	31.6	800.2	20.5
226.8	32.1	800.2	20.5
228.9	32.6	1000.3	20.5
231.0	31.1	900.2	20.5
233.2	31.6	1000.2	20.5
235.3	31.1	900.2	20.5
237.4	32.1	900.2	20.5
239.6	32.1	1000.2	20.5
241.7	31.1	900.2	20.5
243.8	32.6	1000.2	20.5
246.0	32.1	900.2	20.5
248.1	31.6	1500.4	20.5
250.3	32.1	800.2	20.5
252.4	32.1	1000.3	20.5
254.5	32.1	900.2	20.5
256.7	30.6	900.2	20.5
258.8	32.1	900.2	20.5
261.0	32.6	1000.3	20.5
263.1	32.1	900.2	20.5
265.2	31.6	800.2	20.5
267.4	32.1	1500.4	20.5
269.5	32.1	900.2	20.5
271.7	32.6	900.2	20.5
273.8	31.1	900.2	20.5
275.9	32.6	800.2	20.5
278.1	32.1	900.2	20.5
280.2	31.6	800.2	20.5
282.4	31.6	900.2	20.5
284.5	32.1	900.2	20.5
286.7	31.6	900.2	20.5
288.8	33.1	800.2	20.5
291.0	32.6	900.2	20.5
293.1	31.6	900.2	20.5
295.2	32.1	900.2	20.5
297.4	31.6	900.2	20.5
299.5	31.1	800.2	20.5
301.7	34.5	1500.3	20.5
303.8	36.5	1500.4	20.5
306.0	37.4	1500.4	20.5
308.2	38.4	1500.4	20.5
310.4	39.4	1500.3	20.5
312.5	38.9	1500.3	20.5
314.7	39.9	1500.3	20.5
316.9	39.4	1500.4	20.5
319.1	40.4	1500.3	20.5
321.2	41.3	1500.4	20.5
323.4	41.8	1500.4	20.5
325.6	40.9	1500.3	20.5
327.8	41.3	1500.3	20.5
330.0	42.8	1500.4	20.5
332.1	42.3	1500.3	20.5
334.3	41.8	1500.3	20.5
336.5	42.3	1500.3	20.5
338.7	42.8	1500.3	20.5
340.8	42.8	1500.3	20.5
343.0	42.8	1500.4	20.5
345.2	42.8	1500.4	20.5
347.4	44.8	1500.4	20.5
349.6	42.8	1500.3	20.5
351.7	43.8	1500.3	20.5
353.9	44.3	1500.3	20.5
356.1	42.8	1500.3	20.5
358.3	43.8	1500.3	20.5
360.4	43.8	1500.3	20.5
362.6	43.8	1500.4	20.5
364.8	44.8	1500.3	20.5
366.9	44.3	1500.3	20.5
369.1	44.8	1500.4	20.5
