Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	33.6	1000.3	20.7
2.1	33.1	800.2	20.7
4.3	32.6	1000.2	20.7
6.4	33.1	900.2	20.7
8.5	33.6	700.2	20.7
10.7	32.6	900.2	20.7
12.8	32.6	800.2	20.7
14.9	32.6	800.2	20.7
17.0	33.1	900.2	20.7
19.2	32.1	1000.2	20.7
21.3	32.1	1000.2	20.7
23.5	33.1	1000.3	20.7
25.6	33.1	800.2	20.7
27.7	33.6	1000.2	20.7
29.9	32.6	900.2	20.7
32.0	33.6	900.2	20.7
34.1	33.1	700.2	20.7
36.2	33.6	900.2	20.7
38.4	33.1	900.2	20.7
40.5	33.1	700.2	20.7
42.6	32.6	1000.3	20.7
44.8	33.1	800.2	20.7
46.9	32.6	800.2	20.7
49.0	33.1	1500.4	20.7
51.2	33.1	800.2	20.7
53.3	32.1	1000.3	20.7
55.4	32.6	1500.3	20.7
57.6	32.6	700.2	20.7
59.7	32.6	900.2	20.7
61.8	33.6	1500.3	20.7
64.0	34.0	800.2	20.7
66.1	33.6	800.2	20.7
68.2	33.6	1000.3	20.7
70.4	33.6	800.2	20.7
72.5	33.1	900.2	20.7
74.6	33.1	700.2	20.7
76.8	32.6	800.2	20.7
78.9	33.6	900.2	20.7
81.0	32.1	900.2	20.7
83.1	32.6	900.2	20.7
85.3	33.1	1500.4	20.7
87.4	32.6	800.2	20.7
89.5	33.1	700.2	20.7
91.6	32.6	1000.3	20.7
93.8	33.1	900.2	20.7
95.9	32.6	700.2	20.7
98.0	33.1	900.2	20.7
100.2	33.6	800.2	20.7
102.3	33.1	900.2	20.7
104.4	33.6	900.2	20.7
106.6	34.0	1000.2	20.7
108.7	32.6	700.2	20.7
110.8	32.6	900.2	20.7
113.0	32.6	800.2	20.7
115.1	33.1	700.2	20.7
117.2	33.1	1000.3	20.7
119.4	32.6	1000.3	20.7
121.5	33.1	700.2	20.7
123.6	33.1	900.2	20.7
125.8	33.1	700.2	20.7
127.9	32.6	700.2	20.7
130.0	32.1	700.2	20.7
132.2	32.6	1000.2	20.7
134.3	32.6	900.2	20.7
136.5	32.6	900.2	20.7
138.6	32.6	800.2	20.7
140.7	33.1	700.2	20.6
142.9	32.1	900.2	20.7
145.0	32.6	900.2	20.7
147.1	33.6	700.2	20.7
149.2	32.6	800.2	20.7
151.4	33.6	900.2	20.7
153.5	32.6	800.2	20.7
155.6	33.1	800.2	20.7
157.8	32.6	800.2	20.7
159.9	32.6	1000.2	20.7
162.0	34.0	700.2	20.7
164.1	32.1	800.2	20.7
166.3	33.6	900.2	20.7
168.4	31.6	700.2	20.7
170.6	32.1	800.2	20.7
172.7	32.6	1500.3	20.7
174.8	33.1	1000.2	20.7
177.0	33.1	900.2	20.7
179.1	32.6	1000.2	20.7
181.2	33.6	1000.2	20.7
183.3	33.6	800.2	20.7
185.5	32.1	800.2	20.6
187.6	33.1	900.2	20.7
189.7	33.6	800.2	20.7
191.9	33.1	800.2	20.7
194.0	32.6	700.2	20.7
196.1	33.1	900.2	20.7
198.3	33.1	800.2	20.7
200.4	33.1	800.2	20.7
202.5	33.1	900.2	20.7
204.7	33.1	1000.3	20.7
206.8	32.6	1000.3	20.7
208.9	33.6	900.2	20.7
211.1	33.1	800.2	20.7
213.2	32.6	1000.3	20.7
215.3	33.1	1000.3	20.7
217.5	32.6	800.2	20.7
219.6	32.6	800.2	20.7
221.7	33.1	1000.3	20.7
223.9	32.6	900.2	20.7
226.0	33.6	900.2	20.7
228.1	32.6	1000.3	20.7
230.2	33.1	800.2	20.7
232.4	32.1	800.2	20.7
234.5	32.6	700.2	20.7
236.6	32.1	900.2	20.7
238.8	32.6	800.2	20.7
240.9	33.6	900.2	20.7
243.0	33.1	900.2	20.7
245.2	33.6	700.2	20.7
247.3	32.6	1000.2	20.7
249.4	33.6	1000.3	20.7
251.6	33.1	800.2	20.7
253.7	33.1	700.2	20.7
255.8	32.6	800.2	20.7
258.0	33.1	800.2	20.7
260.1	32.6	1000.2	20.7
262.2	32.6	1000.3	20.7
264.4	32.6	900.2	20.7
266.5	33.1	800.2	20.7
268.6	33.1	1500.4	20.7
270.7	33.1	1000.3	20.7
272.9	33.1	700.2	20.7
275.0	32.6	900.2	20.7
277.1	32.1	1000.3	20.7
279.3	33.6	900.2	20.7
281.4	33.1	900.2	20.7
283.5	33.1	1000.2	20.7
285.7	33.1	900.2	20.7
287.8	32.6	1000.3	20.7
