Time	CPU Temperature	CPU Frequency
0.0	50.6	1000.2
2.1	50.6	700.2
4.2	50.6	600.1
6.3	51.1	700.2
8.4	50.6	700.2
10.5	51.1	900.2
12.6	51.1	700.2
14.7	51.1	700.2
16.8	51.1	800.2
18.9	51.6	1500.4
20.9	50.6	1000.2
23.0	50.6	700.2
25.1	51.1	1000.3
27.3	52.1	1000.2
29.4	50.6	700.2
31.5	51.1	900.2
33.5	51.6	900.2
35.7	49.6	1500.4
37.7	50.6	800.2
39.8	50.6	1000.2
41.9	50.6	1500.3
44.0	50.6	1000.2
46.1	51.1	1500.4
48.1	49.6	700.2
50.2	51.1	700.2
52.3	51.1	1500.4
54.3	50.6	800.2
56.4	50.6	1500.4
58.5	50.6	900.2
60.6	51.6	700.2
62.7	52.1	900.2
64.8	51.1	1500.4
66.8	51.6	900.2
68.9	51.1	600.2
71.0	50.1	800.2
73.1	50.1	600.2
75.2	51.1	900.2
77.3	51.1	900.2
79.4	50.1	1500.3
81.5	50.1	700.2
83.6	51.6	1000.2
85.7	51.6	1500.3
87.7	51.1	1500.3
89.8	50.6	1500.4
91.8	51.6	1000.2
93.9	51.1	600.2
96.1	50.1	800.2
98.1	50.6	700.2
100.2	50.6	900.2
102.3	50.6	600.1
104.4	51.1	800.2
106.5	51.6	1500.3
108.6	51.6	700.2
110.7	50.6	700.2
112.8	51.1	800.2
114.9	51.1	700.2
117.0	50.6	1500.3
119.1	51.1	600.2
121.2	50.6	800.2
123.3	51.1	800.2
125.4	51.6	600.1
127.5	51.6	900.2
129.6	50.6	900.2
131.7	51.6	600.2
133.8	50.6	800.2
135.9	50.1	900.2
138.0	50.1	1000.3
140.1	51.1	900.2
142.2	50.6	600.1
144.3	51.6	700.2
146.4	50.6	1500.3
148.5	50.1	1000.3
150.6	50.6	1500.3
152.6	50.1	600.1
154.7	52.1	800.2
156.8	50.1	900.2
158.9	50.6	1000.2
161.0	50.6	1000.3
163.1	50.1	700.2
165.2	50.6	800.2
167.3	50.6	1500.3
169.4	50.6	600.1
171.5	51.1	800.2
173.6	51.1	1500.4
175.6	51.1	800.2
177.7	50.6	1500.3
179.8	52.5	700.2
181.9	51.1	600.1
184.0	49.6	800.2
186.1	52.1	1500.3
188.1	51.6	800.2
190.2	49.1	600.1
192.3	50.6	600.2
194.4	50.6	700.2
196.5	51.1	700.2
198.6	50.6	900.2
200.7	51.1	600.1
202.8	51.1	700.2
204.9	50.6	1500.4
207.0	51.6	800.2
209.1	51.6	600.1
211.2	51.6	900.2
213.3	50.6	800.2
215.4	50.6	700.2
217.5	50.1	700.2
219.6	52.1	600.1
221.7	51.1	800.2
223.8	50.6	1500.3
225.9	51.1	600.2
228.0	51.6	1500.4
230.0	51.6	800.2
232.1	51.6	700.2
234.2	50.6	1500.3
236.3	50.1	900.2
238.4	51.6	1500.4
240.4	51.6	600.1
242.5	51.6	600.2
244.6	51.1	800.2
246.7	51.6	600.2
248.8	51.1	1500.3
250.9	49.6	700.2
253.0	50.6	700.2
255.1	50.1	800.2
257.2	50.6	700.2
259.3	51.1	700.2
261.4	51.1	700.2
263.5	52.1	700.2
265.6	50.6	900.2
267.7	51.1	1000.2
269.8	51.1	900.2
271.9	49.6	1000.3
274.0	51.1	1500.3
276.0	50.6	800.2
278.2	51.1	800.2
280.2	50.1	800.2
282.3	51.6	800.2
284.4	51.1	600.2
286.5	50.6	700.2
288.6	50.6	600.2
290.7	50.6	600.2
292.8	51.1	800.2
294.9	50.6	800.2
297.0	50.6	1000.3
299.2	50.6	1000.3
301.2	53.5	1500.4
303.4	56.4	1500.4
305.5	57.9	1500.3
307.6	59.4	1500.3
309.8	59.9	1500.4
311.9	60.3	1500.3
314.0	60.3	1500.3
316.2	60.8	1500.3
318.3	62.8	1500.4
320.5	62.3	1500.4
322.6	61.8	1500.4
324.7	62.8	1500.4
326.9	63.7	1500.4
329.0	63.3	1500.3
331.1	63.7	1500.4
333.2	64.7	1500.4
335.4	64.7	1500.3
337.5	65.2	1500.4
339.6	64.7	1500.4
341.8	65.2	1500.3
343.9	64.7	1500.4
346.0	65.7	1500.3
348.1	65.7	1500.3
350.3	65.2	1500.3
352.4	66.2	1500.3
354.5	66.7	1500.4
356.7	66.7	1500.3
358.8	65.7	1500.3
361.0	65.7	1500.4
363.1	66.2	1500.3
365.2	67.6	1500.4
367.3	66.7	1500.3
369.5	66.7	1500.4
371.6	66.7	1500.3
373.7	67.6	1500.3
375.8	67.2	1500.4
378.0	67.2	1500.4
380.1	67.2	1500.4
382.2	68.6	1500.3
384.3	67.2	1500.3
386.5	68.1	1500.4
388.6	68.6	1500.3
390.7	68.1	1500.3
392.8	68.1	1500.3
395.0	68.6	1500.3
397.1	68.6	1500.3
399.2	69.1	1500.3
401.4	68.6	1500.3
403.5	68.1	1500.4
405.6	68.1	1500.3
407.8	68.6	1500.4
409.9	68.6	1500.3
412.0	68.1	1500.4
414.1	69.1	1500.4
416.3	69.1	1500.3
418.4	68.6	1500.4
420.6	69.1	1500.3
422.7	69.1	1500.4
424.8	70.6	1500.3
426.9	69.1	1500.4
429.1	69.1	1500.4
431.2	68.6	1500.4
433.3	69.1	1500.4
435.4	69.6	1500.3
437.6	69.1	1500.3
439.7	69.1	1500.3
441.8	68.6	1500.3
