Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	51.6	1500.4	23.6
2.1	52.5	1000.2	23.6
4.3	52.1	800.2	23.6
6.4	52.1	900.2	23.6
8.5	51.6	800.2	23.6
10.7	52.1	900.2	23.6
12.8	51.6	900.2	23.6
14.9	51.1	1000.3	23.6
17.1	51.6	900.2	23.6
19.2	52.1	900.2	23.6
21.4	51.6	900.2	23.6
23.5	51.6	900.2	23.6
25.6	51.6	800.2	23.6
27.8	51.6	700.2	23.6
29.9	52.1	900.2	23.6
32.0	52.5	900.2	23.6
34.2	50.6	700.2	23.6
36.3	52.5	900.2	23.6
38.4	52.1	800.2	23.6
40.6	51.1	1000.3	23.6
42.7	51.6	1000.2	23.6
44.8	52.5	800.2	23.6
47.0	52.1	700.2	23.6
49.1	52.5	800.2	23.6
51.3	52.5	800.2	23.6
53.4	52.1	900.2	23.6
55.6	52.1	1500.3	23.6
57.6	52.1	1000.2	23.6
59.8	51.1	900.2	23.6
61.9	52.1	1000.2	23.6
64.1	51.6	900.2	23.6
66.2	52.1	900.2	23.6
68.3	52.1	900.2	23.6
70.5	51.6	1000.3	23.6
72.6	51.1	900.2	23.6
74.8	52.5	900.2	23.6
76.9	51.6	900.2	23.6
79.0	52.5	1000.3	23.6
81.2	52.1	800.2	23.6
83.3	51.6	900.2	23.6
85.4	52.1	900.2	23.6
87.6	52.5	900.2	23.6
89.7	51.1	1000.3	23.6
91.9	52.5	800.2	23.6
94.0	52.5	900.2	23.6
96.1	52.1	1000.3	23.6
98.3	52.5	1000.2	23.6
100.4	51.1	1000.3	23.6
102.5	52.1	900.2	23.6
104.6	51.6	700.2	23.6
106.8	51.6	800.2	23.6
108.9	52.1	900.2	23.6
111.1	52.1	1500.4	23.6
113.2	52.1	700.2	23.6
115.3	52.1	900.2	23.6
117.4	52.5	900.2	23.6
119.6	51.6	900.2	23.6
121.7	52.5	1000.3	23.6
123.9	50.6	1000.3	23.6
126.0	52.5	900.2	23.6
128.1	51.6	900.2	23.6
130.3	52.1	700.2	23.6
132.4	51.1	900.2	23.6
134.5	51.6	900.2	23.6
136.7	51.6	900.2	23.6
138.8	52.1	1000.3	23.6
140.9	51.6	900.2	23.6
143.1	51.6	900.2	23.6
145.2	52.1	1000.3	23.6
147.4	52.5	900.2	23.6
149.5	52.1	800.2	23.6
151.6	52.5	1000.3	23.6
153.8	52.1	900.2	23.6
155.9	51.6	1500.4	23.6
158.0	52.1	700.2	23.6
160.2	53.5	700.2	23.6
162.3	51.6	900.2	23.6
164.5	53.5	800.2	23.6
166.6	51.1	1000.2	23.6
168.8	52.1	700.2	23.6
170.9	52.5	900.2	23.6
173.0	52.1	800.2	23.6
175.2	52.5	1500.3	23.6
177.3	52.5	900.2	23.6
179.4	52.1	1000.3	23.6
181.6	53.0	800.2	23.6
183.7	53.0	900.2	23.6
185.8	52.5	900.2	23.6
188.0	52.1	900.2	23.6
190.1	53.0	900.2	23.6
192.3	52.5	800.2	23.6
194.4	52.1	900.2	23.6
196.5	53.0	800.2	23.6
198.7	52.1	1000.3	23.6
200.8	52.1	900.2	23.6
202.9	53.0	1000.2	23.6
205.1	53.0	1000.3	23.6
207.2	53.0	900.2	23.6
209.4	53.0	700.2	23.6
211.5	52.5	900.2	23.6
213.6	53.0	900.2	23.6
215.8	53.0	800.2	23.6
217.9	53.5	900.2	23.6
220.0	53.0	900.2	23.6
222.2	52.5	1000.3	23.6
224.3	52.5	900.2	23.6
226.4	52.5	900.2	23.6
228.6	52.5	900.2	23.6
230.7	53.0	800.2	23.6
232.8	52.5	800.2	23.6
235.0	52.1	1000.2	23.6
237.1	53.0	900.2	23.6
239.3	53.5	1000.3	23.6
241.4	52.5	900.2	23.6
243.5	53.5	800.2	23.6
245.7	53.0	700.2	23.6
247.8	53.0	900.2	23.6
250.0	53.5	700.2	23.6
252.1	53.0	1500.3	23.6
254.2	53.5	800.2	23.6
256.4	53.0	900.2	23.6
258.5	52.5	900.2	23.6
260.6	52.5	800.2	23.6
262.8	53.5	900.2	23.6
264.9	53.0	1000.2	23.6
267.1	54.0	900.2	23.6
269.2	53.5	1000.3	23.6
271.3	54.0	1000.3	23.6
273.5	54.0	1000.3	23.6
275.6	52.5	700.2	23.6
277.8	54.5	800.2	23.6
279.9	54.0	900.2	23.6
282.0	54.0	900.2	23.6
284.2	54.0	1000.3	23.6
286.3	53.5	900.2	23.6
288.5	53.5	700.2	23.6
290.6	54.0	1000.2	23.6
292.7	53.0	800.2	23.6
294.9	53.5	900.2	23.6
297.0	53.0	900.2	23.6
299.1	55.0	800.2	23.6
301.3	55.0	600.2	23.6
303.6	55.0	1500.4	23.6
305.8	57.9	1500.3	23.6
