Time	CPU Temperature	CPU Frequency
0.0	61.3	1000.2
2.1	61.3	600.2
4.21	60.3	700.2
6.32	60.8	700.2
8.44	60.8	800.2
10.54	59.4	1000.3
12.65	60.8	600.2
14.76	61.8	1500.3
16.81	61.3	1500.3
18.87	61.8	800.2
20.97	61.3	900.2
23.07	60.8	600.1
25.18	60.8	700.2
27.29	60.8	700.2
29.4	61.3	800.2
31.5	60.3	900.2
33.61	61.3	1500.4
35.72	60.8	600.2
37.83	61.3	800.2
39.93	60.8	900.2
42.04	61.3	1500.3
44.14	61.3	700.2
46.24	61.3	800.2
48.35	61.3	900.2
50.45	60.8	1500.4
52.55	62.3	700.2
54.66	61.3	800.2
56.76	60.3	800.2
58.87	61.3	900.2
60.98	61.8	1500.3
63.08	60.8	600.2
65.2	60.8	700.2
67.31	61.3	800.2
69.41	60.8	800.2
71.51	60.8	900.2
73.62	60.8	1000.3
75.72	61.8	600.2
77.83	61.3	800.2
79.93	61.3	800.2
82.03	60.8	800.2
84.14	60.8	800.2
86.24	60.8	800.2
88.34	60.8	1000.2
90.44	61.3	600.2
92.55	59.9	700.2
94.66	61.3	700.2
96.77	60.8	700.2
98.88	60.8	900.2
100.97	60.8	800.2
103.07	60.8	800.2
105.16	60.8	900.2
107.27	60.3	900.2
109.38	60.8	800.2
111.48	61.3	800.2
113.58	60.8	900.2
115.69	60.8	600.1
117.8	60.8	800.2
119.9	60.3	900.2
121.99	60.8	700.2
124.09	60.8	600.1
126.21	60.3	600.1
128.32	60.8	700.2
130.43	59.9	800.2
132.52	61.3	900.2
134.63	60.8	1500.4
136.69	61.3	1500.4
138.74	60.8	800.2
140.85	61.3	1000.2
142.95	60.8	1500.3
145.01	61.3	900.2
147.11	60.3	1500.4
149.22	60.8	700.2
151.32	61.3	800.2
153.43	60.3	900.2
155.53	60.3	1000.3
157.64	61.8	700.2
159.75	61.8	800.2
161.85	60.8	800.2
163.96	60.8	900.2
166.06	60.8	600.2
168.17	60.3	700.2
170.27	60.8	800.2
172.37	61.3	1000.3
174.47	60.8	900.2
176.58	60.8	900.2
178.69	60.8	1500.3
180.75	60.3	900.2
182.85	59.9	1000.3
184.96	61.3	600.1
187.07	60.8	700.2
189.18	61.3	700.2
191.29	61.3	900.2
193.4	60.8	1500.3
195.45	60.3	700.2
197.56	61.3	800.2
199.67	60.8	900.2
201.78	60.3	600.2
203.89	61.3	800.2
205.99	60.3	900.2
208.09	60.3	1500.3
210.2	60.8	700.2
212.31	60.8	800.2
214.4	61.3	1000.3
216.51	59.9	900.2
218.61	60.3	1500.3
220.67	61.3	800.2
222.78	60.8	900.2
224.89	60.3	1500.3
227.0	60.8	700.2
229.11	61.3	700.2
231.22	60.8	700.2
233.32	60.8	800.2
235.43	61.3	1000.3
237.53	61.3	600.1
239.63	60.8	700.2
241.74	61.3	800.2
243.84	60.8	1500.3
245.92	61.8	700.2
248.03	60.3	800.2
250.13	61.3	900.2
252.24	61.8	900.2
254.34	60.8	1500.3
256.4	60.8	900.2
258.5	61.8	900.2
260.61	60.8	700.2
262.72	61.3	700.2
264.83	60.3	700.2
266.94	60.3	900.2
269.03	60.8	900.2
271.13	60.8	900.2
273.23	60.8	1500.3
275.34	61.3	1500.4
277.39	59.9	1000.3
279.5	61.3	1500.4
281.56	60.8	1000.3
283.67	60.8	600.1
285.78	60.8	700.2
