Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	49.6	900.2	20.9
2.1	48.7	1000.3	20.9
4.3	48.7	1000.3	20.9
6.4	49.1	900.2	20.9
8.5	48.7	1500.3	20.9
10.6	49.1	900.2	20.9
12.7	48.7	800.2	20.9
14.9	49.1	1500.4	20.9
17.0	49.1	900.2	20.9
19.1	49.6	800.2	20.9
21.3	49.1	1500.3	20.9
23.4	50.1	900.2	20.9
25.5	49.6	900.2	20.9
27.6	49.6	800.2	20.9
29.8	50.1	700.2	20.9
31.9	50.1	800.2	20.9
34.0	49.6	1000.2	20.9
36.2	50.1	800.2	20.9
38.3	50.6	1500.3	20.9
40.4	50.1	1000.3	20.9
42.5	49.1	1000.3	20.9
44.6	50.1	800.2	20.9
46.8	49.1	800.2	20.9
48.9	50.1	1500.3	20.9
51.0	50.1	1000.3	20.9
53.1	49.1	900.2	20.9
55.3	48.7	700.2	20.9
57.4	50.1	900.2	20.9
59.5	50.6	1000.3	20.9
61.6	49.6	700.2	20.9
63.8	49.6	1000.2	20.9
65.9	49.6	900.2	20.9
68.0	50.6	800.2	20.9
70.2	50.6	1000.3	20.9
72.3	49.6	800.2	20.9
74.4	50.6	900.2	20.9
76.6	49.6	1000.2	20.9
78.7	49.1	800.2	20.9
80.8	49.6	800.2	20.9
83.0	50.6	700.2	20.9
85.1	50.6	900.2	20.9
87.2	50.1	800.2	20.9
89.4	50.1	900.2	20.9
91.5	50.1	800.2	20.9
93.6	50.1	900.2	20.9
95.7	49.6	800.2	20.9
97.9	50.1	900.2	20.9
100.0	50.1	800.2	20.9
102.1	50.1	900.2	20.9
104.3	49.1	700.2	20.9
106.4	50.1	1000.3	20.9
108.5	50.6	1000.3	20.9
110.7	50.1	900.2	20.9
112.8	50.1	800.2	20.9
114.9	49.1	700.2	20.9
117.1	50.1	800.2	20.9
119.2	49.6	900.2	20.9
121.3	50.1	900.2	20.9
123.5	50.6	800.2	20.9
125.6	49.6	900.2	20.9
127.7	51.1	800.2	20.9
