Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	47.2	1500.4	20.4
2.1	47.2	900.2	20.4
4.2	46.2	700.2	20.4
6.4	46.7	1000.3	20.4
8.5	47.2	800.2	20.4
10.6	47.7	900.2	20.4
12.8	47.2	800.2	20.4
14.9	46.2	800.2	20.4
17.0	46.7	800.2	20.4
19.2	47.7	800.2	20.4
21.3	47.2	800.2	20.4
23.4	47.7	800.2	20.4
25.6	46.7	1000.3	20.4
27.7	47.2	800.2	20.4
29.8	47.7	800.2	20.4
32.0	48.7	800.2	20.4
34.1	48.2	700.2	20.4
36.2	46.7	800.2	20.4
38.3	46.7	1000.2	20.4
40.5	46.7	900.2	20.4
42.6	46.7	800.2	20.4
44.7	46.7	800.2	20.4
46.9	47.2	900.2	20.4
49.0	46.7	1000.3	20.4
51.1	46.7	900.2	20.4
53.2	46.7	900.2	20.4
55.4	46.7	700.2	20.4
57.5	47.7	800.2	20.4
59.6	46.7	800.2	20.4
61.8	47.2	700.2	20.4
63.9	46.7	900.2	20.4
66.0	47.2	800.2	20.4
68.1	46.7	900.2	20.4
70.3	46.2	1000.2	20.4
72.4	47.2	900.2	20.4
74.5	47.7	800.2	20.4
76.7	46.7	700.2	20.4
78.8	46.7	900.2	20.4
80.9	46.7	800.2	20.4
83.1	47.2	1000.3	20.4
85.2	47.2	800.2	20.4
87.3	46.7	800.2	20.4
89.5	47.2	1000.2	20.4
91.6	47.2	800.2	20.4
93.7	47.2	800.2	20.4
95.8	46.7	800.2	20.4
98.0	46.2	900.2	20.4
100.1	47.2	800.2	20.4
102.2	46.2	800.2	20.4
104.4	46.7	700.2	20.4
106.5	47.7	900.2	20.4
108.6	47.7	1000.2	20.4
110.7	47.7	900.2	20.4
112.9	46.7	900.2	20.4
115.0	46.7	1000.3	20.4
117.1	48.2	700.2	20.4
119.3	47.2	900.2	20.4
121.4	47.2	1000.2	20.4
123.5	46.7	700.2	20.4
125.7	46.7	1000.3	20.4
127.8	47.7	900.2	20.4
