Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	49.1	900.2	19.8
2.1	48.2	700.2	19.8
4.3	49.6	1000.2	19.8
6.4	48.2	800.2	19.8
8.5	49.1	700.2	19.8
10.7	49.1	800.2	19.8
12.8	49.1	900.2	19.8
14.9	50.1	900.2	19.8
17.1	48.2	1000.3	19.8
19.2	48.2	800.2	19.8
21.3	49.1	800.2	19.8
23.5	49.6	900.2	19.8
25.6	49.1	1000.3	19.8
27.7	49.1	900.2	19.8
29.9	49.1	1500.3	19.8
32.0	48.7	900.2	19.8
34.1	49.6	1500.4	19.8
36.2	50.1	800.2	19.8
38.3	49.1	700.2	19.8
40.5	49.1	1000.3	19.8
42.6	50.1	1000.3	19.8
44.7	48.7	1000.2	19.8
46.9	49.6	900.2	19.8
49.0	49.6	1000.3	19.8
51.1	49.1	1000.3	19.8
53.2	48.7	1000.3	19.8
55.4	49.6	800.2	19.8
57.5	49.6	900.2	19.8
59.6	48.7	700.2	19.8
61.8	49.6	900.2	19.8
63.9	49.1	1500.3	19.8
66.0	49.1	1000.3	19.8
68.2	49.1	1000.3	19.8
70.3	48.7	800.2	19.8
72.4	49.6	800.2	19.8
74.6	49.6	700.2	19.8
76.7	49.6	900.2	19.8
78.8	48.7	800.2	19.8
81.0	48.7	900.2	19.8
83.1	49.6	800.2	19.8
85.2	48.2	700.2	19.8
87.4	49.1	900.2	19.8
89.5	49.1	1000.2	19.8
91.6	48.2	1000.3	19.8
93.7	48.7	800.2	19.8
95.9	49.1	900.2	19.8
98.0	49.6	900.2	19.8
100.1	49.6	800.2	19.8
102.3	49.1	1000.2	19.8
104.4	50.1	800.2	19.8
106.5	48.7	900.2	19.8
108.7	49.1	1000.3	19.8
110.8	49.6	900.2	19.8
112.9	49.6	900.2	19.8
115.1	50.1	800.2	19.8
117.2	49.6	800.2	19.8
119.3	50.1	1000.2	19.8
121.5	49.1	1000.2	19.8
123.6	48.7	700.2	19.8
125.7	49.6	800.2	19.8
127.9	49.1	900.2	19.8
130.0	49.6	1000.3	19.8
132.1	48.7	900.2	19.8
134.3	49.6	800.2	19.8
136.4	48.7	800.2	19.8
138.6	49.6	800.2	19.8
140.7	49.1	800.2	19.8
142.8	49.1	900.2	19.8
144.9	49.1	900.2	19.8
147.1	48.7	1000.3	19.8
149.2	49.6	800.2	19.8
151.3	49.6	900.2	19.8
153.5	49.1	1000.3	19.8
155.6	49.1	800.2	19.8
157.7	50.1	800.2	19.8
159.9	49.6	800.2	19.8
162.0	49.6	800.2	19.8
164.1	49.1	900.2	19.8
166.3	49.6	1000.3	19.8
168.4	50.1	800.2	19.8
170.5	49.6	1500.4	19.8
172.7	49.1	900.2	19.8
174.8	49.6	800.2	19.8
176.9	49.6	1000.2	19.8
179.0	49.1	1000.2	19.8
181.2	49.6	800.2	19.8
183.3	48.7	800.2	19.8
185.4	48.7	900.2	19.8
187.6	50.1	1500.4	19.8
189.7	50.1	1000.2	19.8
191.8	49.1	700.2	19.8
194.0	49.6	800.2	19.8
196.1	50.1	1000.2	19.8
198.2	49.1	900.2	19.8
200.4	50.1	900.2	19.8
202.5	49.6	900.2	19.8
204.6	50.1	1000.2	19.8
206.7	49.1	800.2	19.8
208.9	50.1	900.2	19.8
211.0	49.6	1000.3	19.8
213.2	49.1	1000.2	19.8
215.3	49.6	800.2	19.8
217.4	49.6	800.2	19.8
219.6	48.7	900.2	19.8
221.7	50.1	800.2	19.8
223.8	49.1	700.2	19.8
226.0	49.1	700.2	19.8
