Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	49.1	1500.3	20.2
2.1	48.7	800.2	20.1
4.3	49.6	800.2	20.1
6.4	49.6	800.2	20.2
8.5	49.6	900.2	20.1
10.7	48.7	700.2	20.1
12.8	49.6	1000.3	20.2
14.9	50.1	800.2	20.1
17.0	49.6	1000.3	20.1
19.2	49.6	800.2	20.1
21.3	49.6	900.2	20.1
23.4	49.6	900.2	20.1
25.5	50.1	1000.2	20.1
27.7	50.1	800.2	20.1
29.8	49.6	800.2	20.1
31.9	49.1	900.2	20.1
34.1	50.1	800.2	20.1
36.2	49.1	800.2	20.1
38.3	49.6	800.2	20.1
40.5	49.6	800.2	20.1
42.6	50.6	800.2	20.1
44.7	50.6	700.2	20.1
46.8	49.6	800.2	20.1
49.0	50.6	800.2	20.1
51.1	50.1	700.2	20.1
53.2	49.6	800.2	20.1
55.4	50.1	800.2	20.1
57.5	50.6	800.2	20.1
59.6	49.6	1000.2	20.1
61.8	49.1	1000.3	20.1
63.9	50.6	800.2	20.1
66.0	50.1	800.2	20.1
68.1	50.6	1000.2	20.1
70.3	50.1	700.2	20.1
72.4	50.1	1000.3	20.1
74.5	51.1	900.2	20.1
76.7	50.1	800.2	20.1
78.8	51.1	900.2	20.1
80.9	50.6	700.2	20.1
83.1	51.1	1500.4	20.1
85.2	51.6	1000.2	20.1
87.3	50.1	800.2	20.1
89.4	51.1	700.2	20.1
91.6	50.1	700.2	20.1
93.7	50.1	1000.3	20.1
95.8	50.6	700.2	20.1
97.9	50.1	700.2	20.1
100.1	50.6	700.2	20.1
102.2	50.1	800.2	20.1
104.3	50.6	800.2	20.1
106.5	51.1	1000.2	20.1
108.6	50.6	1000.3	20.1
110.7	50.6	900.2	20.1
112.9	49.6	900.2	20.1
115.0	51.1	800.2	20.1
117.1	50.6	800.2	20.1
119.2	51.1	1500.4	20.1
121.4	51.1	700.2	20.1
123.5	50.1	900.2	20.1
125.6	50.6	800.2	20.1
127.8	50.6	800.2	20.1
129.9	52.1	800.2	20.1
132.0	50.6	900.2	20.1
134.2	51.1	800.2	20.1
136.3	51.1	800.2	20.1
138.4	51.1	1000.2	20.1
140.5	50.6	800.2	20.1
142.7	51.1	1000.2	20.1
144.8	51.1	700.2	20.1
146.9	50.6	800.2	20.1
149.1	50.6	800.2	20.1
151.2	50.6	700.2	20.1
153.3	51.1	800.2	20.1
155.5	51.6	900.2	20.1
157.6	51.6	900.2	20.1
159.7	51.1	1500.3	20.1
161.8	52.5	1000.2	20.1
163.9	51.6	900.2	20.1
166.1	52.5	900.2	20.1
168.2	51.6	800.2	20.1
170.3	51.6	1000.2	20.1
172.5	52.1	900.2	20.1
174.6	51.6	900.2	20.1
176.7	51.1	700.2	20.1
178.8	52.1	800.2	20.1
181.0	51.6	800.2	20.1
183.1	51.6	700.2	20.1
185.2	51.1	1000.3	20.1
187.4	52.1	800.2	20.1
189.5	51.6	800.2	20.1
191.6	51.6	1000.3	20.1
193.8	52.1	800.2	20.1
195.9	51.1	900.2	20.1
198.0	51.6	1000.3	20.1
200.2	52.1	800.2	20.1
202.3	52.5	800.2	20.1
204.4	50.1	900.2	20.1
206.6	51.6	900.2	20.1
208.7	51.6	900.2	20.1
210.8	52.1	1000.3	20.1
212.9	51.1	900.2	20.1
