Time	CPU Temperature	CPU Frequency
0.0	30.6	900.2
2.1	29.2	800.2
4.2	29.7	900.2
6.3	29.7	1500.4
8.5	30.1	1500.4
10.6	29.7	800.2
12.7	30.1	900.2
14.8	29.7	800.2
16.9	29.7	800.2
19.0	30.6	1000.2
21.1	31.1	1000.3
23.2	29.7	1500.3
25.4	30.1	700.2
27.5	30.1	700.2
29.6	30.6	800.2
31.7	30.1	900.2
33.8	29.7	1000.2
36.0	29.7	1000.3
38.1	29.7	700.2
40.2	30.1	700.2
42.3	29.7	800.2
44.4	31.1	1500.4
46.5	29.2	800.2
48.6	31.6	1000.2
50.7	29.2	700.2
52.8	29.2	800.2
55.0	31.1	1000.3
57.1	30.1	1500.4
59.2	30.1	800.2
61.3	30.6	1500.4
63.4	31.1	800.2
65.5	30.1	1000.2
67.6	29.7	700.2
69.7	30.1	800.2
71.9	30.1	900.2
74.0	29.2	1000.3
76.1	30.6	800.2
78.2	30.1	900.2
80.3	30.6	1000.3
82.4	29.2	1500.4
84.6	29.7	1000.2
86.7	29.2	700.2
88.8	30.1	800.2
90.9	29.7	800.2
93.0	28.7	800.2
95.2	30.6	900.2
97.3	30.6	1500.3
99.3	29.2	700.2
101.5	30.1	800.2
103.6	30.6	900.2
105.7	29.7	1500.4
107.8	30.1	700.2
109.9	30.1	1500.3
112.0	30.6	800.2
114.1	29.7	900.2
116.3	31.1	1500.3
118.4	30.6	800.2
120.5	29.2	900.2
122.6	30.1	800.2
124.7	30.6	800.2
126.8	29.7	1500.3
128.9	31.1	900.2
131.1	30.6	700.2
133.2	29.2	700.2
135.3	30.1	1000.3
137.4	29.7	900.2
139.5	30.1	1000.3
141.6	29.7	1500.4
143.8	30.6	700.2
145.9	30.1	800.2
148.0	29.7	900.2
150.1	29.2	1000.3
152.2	30.1	1500.4
154.4	29.7	700.2
156.5	29.7	800.2
158.6	29.2	800.2
160.7	30.1	900.2
162.8	30.1	1500.3
165.0	29.2	700.2
167.1	30.6	1500.4
169.1	30.1	900.2
171.2	30.1	800.2
173.3	30.6	900.2
175.5	30.6	1500.3
177.6	30.1	800.2
179.7	30.1	900.2
181.8	29.7	1000.2
183.9	30.1	1000.2
186.0	30.6	1500.4
188.1	30.6	1000.3
190.2	31.1	800.2
192.3	30.6	800.2
194.4	30.6	1500.3
196.6	30.6	1000.3
198.7	29.7	1000.3
200.8	30.1	700.2
202.9	29.2	800.2
205.0	29.7	900.2
207.2	29.7	1000.3
209.3	29.7	1500.3
211.4	30.1	1500.3
213.5	30.1	700.2
215.6	29.7	900.2
217.7	29.2	800.2
219.8	29.7	1000.2
222.0	30.1	1000.2
224.1	29.7	700.2
226.2	30.1	800.2
228.3	30.6	1000.2
230.4	29.7	700.2
232.5	29.7	800.2
234.7	31.1	1000.3
236.8	29.7	900.2
238.9	29.2	1500.3
241.0	30.1	800.2
243.1	29.7	900.2
245.2	29.7	1000.3
247.4	30.6	800.2
249.5	29.7	900.2
251.6	30.6	1000.3
253.7	28.7	900.2
255.8	30.1	800.2
258.0	29.7	1000.2
260.1	30.1	1000.2
262.2	29.7	800.2
264.3	30.6	900.2
266.4	30.1	900.2
268.5	29.2	900.2
270.7	30.6	1000.2
272.8	29.7	1500.4
274.9	30.1	700.2
277.0	29.7	700.2
279.1	30.1	800.2
281.3	30.1	900.2
283.4	29.7	800.2
285.5	30.6	900.2
287.6	30.1	1000.3
289.7	30.1	800.2
291.8	30.6	900.2
293.9	29.2	1500.4
296.1	30.1	800.2
298.2	29.7	1000.2
300.3	30.1	1500.4
302.4	35.0	1500.4
304.6	35.0	1500.3
306.7	36.5	1500.4
308.9	37.0	1500.3
311.0	37.4	1500.3
313.2	38.4	1500.3
315.3	38.4	1500.3
317.5	38.4	1500.3
319.6	39.4	1500.3
321.8	39.4	1500.3
323.9	40.4	1500.4
326.1	39.4	1500.3
328.2	39.9	1500.4
330.4	39.9	1500.4
332.5	40.4	1500.4
334.7	40.4	1500.3
336.8	40.9	1500.4
339.0	41.3	1500.3
341.1	40.4	1500.4
343.2	40.4	1500.4
345.4	41.3	1500.4
347.5	41.3	1500.4
349.7	40.9	1500.4
351.8	41.3	1500.3
353.9	40.4	1500.3
356.1	42.3	1500.3
358.2	40.9	1500.3
360.4	41.8	1500.4
362.6	41.3	1500.4
364.7	42.3	1500.4
366.9	43.3	1500.3
369.0	42.3	1500.3
371.2	41.8	1500.3
373.3	42.3	1500.3
375.5	42.3	1500.3
377.6	42.3	1500.3
379.8	42.3	1500.3
381.9	43.8	1500.4
384.1	42.3	1500.4
386.2	42.3	1500.4
388.4	42.3	1500.4
390.6	43.3	1500.4
392.7	41.8	1500.4
394.9	42.3	1500.3
397.0	42.8	1500.3
399.2	42.3	1500.4
401.4	41.8	1500.4
403.5	42.3	1500.3
405.7	41.8	1500.3
407.8	42.8	1500.4
410.0	42.8	1500.3
412.2	43.3	1500.4
414.3	42.3	1500.3
416.4	43.3	1500.4
418.6	42.3	1500.3
420.8	41.3	1500.4
422.9	42.8	1500.3
425.1	42.3	1500.3
427.2	42.8	1500.4
429.3	42.3	1500.3
431.5	42.8	1500.3
433.7	42.8	1500.4
435.8	43.8	1500.4
438.0	43.3	1500.3
440.1	42.8	1500.3
442.3	43.3	1500.3
444.5	42.8	1500.3
446.6	42.3	1500.4
448.8	43.8	1500.3
450.9	42.8	1500.4
453.1	42.8	1500.3
455.2	43.3	1500.4
457.4	42.8	1500.3
459.5	43.3	1500.3
461.7	43.3	1500.4
463.8	42.8	1500.3
466.0	43.3	1500.3
468.1	43.3	1500.4
470.3	43.3	1500.4
472.4	43.3	1500.3
474.5	43.8	1500.3
476.7	42.8	1500.3
478.8	43.3	1500.4
481.0	43.3	1500.3
483.1	43.3	1500.4
485.3	43.3	1500.3
487.4	41.8	1500.3
489.6	42.8	1500.4
491.7	41.8	1500.4
493.9	43.3	1500.3
496.1	42.8	1500.3
498.2	42.8	1500.3
500.4	42.8	1500.4
502.5	42.8	1500.3
504.7	41.8	1500.4
506.8	43.3	1500.4
509.0	43.3	1500.3
511.1	43.8	1500.4
513.3	43.3	1500.4
515.4	43.8	1500.3
517.6	43.3	1500.3
519.7	42.3	1500.3
521.9	42.8	1500.4
524.0	42.3	1500.4
526.2	41.8	1500.4
528.3	42.8	1500.3
530.5	42.3	1500.4
532.6	43.8	1500.3
534.8	43.3	1500.4
536.9	43.3	1500.3
539.1	42.3	1500.4
541.2	42.3	1500.4
543.4	43.3	1500.3
545.5	42.3	1500.3
547.7	44.3	1500.3
549.8	42.3	1500.3
551.9	42.8	1500.4
554.1	42.8	1500.4
556.2	43.8	1500.3
558.4	43.3	1500.3
560.5	43.8	1500.4
562.7	42.8	1500.3
564.8	42.8	1500.4
567.0	42.8	1500.4
569.1	43.8	1500.3
571.3	42.8	1500.3
573.4	43.3	1500.4
575.6	42.8	1500.3
577.7	43.3	1500.3
579.9	41.8	1500.3
582.1	42.8	1500.3
584.2	43.3	1500.3
586.4	43.8	1500.3
588.6	44.3	1500.3
590.7	43.8	1500.3
592.9	42.8	1500.4
595.0	43.3	1500.3
597.1	43.8	1500.3
599.3	42.3	1500.4
601.4	42.8	1500.3
603.6	43.3	1500.3
605.7	43.3	1500.3
607.9	42.8	1500.4
610.0	42.8	1500.3
612.2	43.3	1500.3
614.3	43.8	1500.3
616.5	43.3	1500.3
618.6	42.3	1500.3
620.8	43.3	1500.3
622.9	43.8	1500.3
625.1	43.3	1500.3
627.2	43.3	1500.4
629.4	42.8	1500.3
631.5	42.8	1500.4
633.7	42.3	1500.4
635.8	42.8	1500.3
637.9	42.3	1500.3
640.1	43.3	1500.4
642.2	43.3	1500.3
644.4	43.3	1500.3
646.5	43.3	1500.3
648.7	43.3	1500.4
650.8	43.3	1500.4
653.0	43.8	1500.3
655.2	43.8	1500.3
657.3	43.8	1500.3
659.5	43.3	1500.3
661.6	43.3	1500.3
663.8	42.8	1500.4
665.9	43.3	1500.4
668.1	42.3	1500.3
670.2	43.8	1500.3
672.4	42.8	1500.3
674.5	43.8	1500.4
676.7	43.8	1500.4
678.8	43.8	1500.3
680.9	42.8	1500.4
683.1	42.8	1500.4
685.3	42.8	1500.3
687.4	43.3	1500.3
689.5	43.8	1500.3
691.7	42.8	1500.3
693.8	43.8	1500.4
696.0	42.3	1500.3
698.1	43.3	1500.3
700.2	43.8	1500.3
702.4	43.8	1500.3
704.5	43.8	1500.4
706.7	43.8	1500.3
708.8	43.3	1500.4
711.0	43.8	1500.4
713.1	43.3	1500.4
715.3	43.3	1500.4
717.4	43.8	1500.3
719.6	43.3	1500.4
721.8	43.3	1500.3
723.9	43.8	1500.3
726.1	43.3	1500.3
728.3	42.8	1500.4
730.4	43.8	1500.4
732.6	42.8	1500.4
734.7	42.8	1500.3
736.9	43.3	1500.3
739.0	43.3	1500.4
741.2	43.3	1500.4
743.3	42.8	1500.3
745.5	43.8	1500.3
747.6	43.8	1500.4
749.8	43.3	1500.4
751.9	44.3	1500.3
754.1	43.3	1500.3
756.2	43.8	1500.3
758.4	42.8	1500.3
760.5	43.8	1500.4
762.7	42.8	1500.3
764.8	44.3	1500.3
767.0	43.8	1500.4
769.1	43.8	1500.3
771.3	43.3	1500.3
773.5	42.8	1500.3
775.6	43.8	1500.4
777.7	42.8	1500.4
779.9	43.3	1500.3
782.0	43.3	1500.4
784.2	43.3	1500.3
786.3	43.8	1500.4
788.5	43.3	1500.3
790.6	42.8	1500.4
792.8	43.3	1500.4
794.9	42.8	1500.3
797.1	43.3	1500.3
799.2	43.8	1500.3
801.4	43.3	1500.3
803.5	43.3	1500.3
805.6	44.3	1500.3
807.8	43.3	1500.4
810.0	43.3	1500.3
812.1	43.3	1500.4
814.3	43.8	1500.3
816.4	43.3	1500.4
818.5	42.8	1500.3
820.7	44.3	1500.4
822.9	43.3	1500.3
825.0	43.3	1500.3
827.2	42.8	1500.3
829.3	42.3	1500.4
831.5	43.8	1500.4
833.6	43.3	1500.3
835.8	43.8	1500.4
837.9	43.8	1500.4
840.1	43.3	1500.4
842.2	42.3	1500.3
844.4	43.3	1500.4
846.5	43.3	1500.3
848.6	43.8	1500.3
850.8	42.8	1500.3
852.9	43.8	1500.4
855.1	42.8	1500.4
857.2	43.8	1500.4
859.4	42.8	1500.3
861.5	43.3	1500.3
863.7	42.8	1500.3
865.8	43.3	1500.4
868.0	43.8	1500.3
870.2	42.8	1500.3
872.3	43.3	1500.4
874.5	42.3	1500.4
876.6	42.3	1500.4
878.7	43.8	1500.3
880.9	42.8	1500.4
883.0	42.8	1500.3
885.2	43.3	1500.3
887.3	43.3	1500.3
889.5	43.3	1500.4
891.6	42.3	1500.4
893.7	43.8	1500.3
895.9	43.3	1500.3
898.0	42.8	1500.4
900.2	43.8	1500.4
902.3	42.8	1500.4
904.5	44.3	1500.3
906.6	43.8	1500.4
908.7	43.8	1500.4
