Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	45.7	900.2	24.6
2.1	45.7	700.2	24.6
4.3	46.2	900.2	24.5
6.4	45.2	800.2	24.5
8.5	45.7	800.2	24.6
10.7	45.7	900.2	24.6
12.8	45.7	1500.4	24.6
14.9	46.7	900.2	24.6
17.0	45.7	900.2	24.6
19.2	47.2	800.2	24.5
21.3	46.7	900.2	24.5
23.4	46.7	900.2	24.5
25.6	46.2	900.2	24.6
27.7	45.2	900.2	24.6
29.8	45.2	900.2	24.6
32.0	45.7	900.2	24.6
34.1	44.8	1000.3	24.6
36.2	45.7	900.2	24.6
38.4	45.7	1000.3	24.6
40.5	46.7	900.2	24.5
42.6	46.2	900.2	24.6
44.8	46.7	700.2	24.5
46.9	45.2	900.2	24.5
49.0	45.2	800.2	24.5
51.2	46.2	900.2	24.5
53.3	46.2	1500.4	24.5
55.4	46.2	900.2	24.5
57.5	45.7	800.2	24.5
59.7	45.7	1000.2	24.5
61.8	45.7	800.2	24.5
63.9	46.2	900.2	24.6
66.0	46.2	1000.3	24.6
68.2	46.2	1500.3	24.5
70.3	46.2	700.2	24.5
72.4	46.7	900.2	24.5
74.5	46.2	900.2	24.5
76.7	45.7	1000.3	24.5
78.8	46.7	800.2	24.5
80.9	45.7	900.2	24.5
83.1	45.7	1000.3	24.5
85.2	45.2	800.2	24.6
87.3	46.7	1000.3	24.6
89.5	46.2	900.2	24.6
91.6	45.7	900.2	24.5
93.7	46.2	1000.3	24.5
95.9	46.7	900.2	24.5
98.0	46.7	800.2	24.5
100.1	46.7	900.2	24.5
102.3	46.7	900.2	24.6
104.4	45.7	800.2	24.6
106.5	46.2	800.2	24.6
108.7	46.2	900.2	24.6
110.8	45.2	1000.2	24.6
112.9	46.2	900.2	24.6
115.1	45.7	1000.2	24.6
117.2	45.7	800.2	24.6
119.4	45.7	900.2	24.6
121.5	45.2	900.2	24.6
123.6	46.2	900.2	24.6
125.8	45.2	900.2	24.6
127.9	45.7	800.2	24.6
130.0	46.2	1000.3	24.6
132.2	46.2	700.2	24.6
134.3	46.7	1000.2	24.6
136.5	46.2	1000.3	24.6
138.6	46.2	1000.3	24.5
140.7	46.2	900.2	24.5
142.8	45.7	900.2	24.5
145.0	45.2	700.2	24.5
147.1	47.2	800.2	24.5
149.3	46.2	1000.3	24.5
151.4	45.7	900.2	24.5
153.5	45.7	700.2	24.5
155.7	46.7	800.2	24.5
157.8	46.7	900.2	24.5
159.9	45.7	1000.2	24.5
162.1	46.7	900.2	24.5
164.2	46.2	900.2	24.5
166.3	45.7	700.2	24.5
168.5	45.2	900.2	24.5
170.6	46.2	800.2	24.5
172.8	46.2	900.2	24.6
174.9	46.2	1000.3	24.6
177.0	45.2	700.2	24.5
179.2	45.7	1500.3	24.5
181.2	46.7	900.2	24.5
183.4	46.7	1500.3	24.5
185.5	46.2	800.2	24.5
187.6	45.7	900.2	24.5
189.8	46.2	800.2	24.5
191.9	45.7	1500.4	24.5
194.0	45.7	1500.3	24.5
196.1	46.7	1000.2	24.5
198.3	44.8	1000.2	24.5
200.4	46.2	800.2	24.5
202.6	46.2	1000.2	24.5
204.7	45.7	1500.4	24.6
206.8	46.7	1000.3	24.6
208.9	45.7	900.2	24.6
211.0	46.7	800.2	24.6
213.2	47.2	800.2	24.6
215.3	46.2	1000.3	24.6
217.4	46.7	800.2	24.6
219.6	46.2	900.2	24.6
221.7	45.2	1000.3	24.6
223.8	46.2	700.2	24.6
226.0	45.7	900.2	24.6
228.1	45.7	900.2	24.6
230.2	46.7	1000.2	24.6
232.4	45.7	1000.2	24.6
234.5	46.7	800.2	24.6
236.6	46.2	800.2	24.6
238.7	45.2	900.2	24.6
240.9	46.2	800.2	24.6
243.0	46.2	900.2	24.6
245.2	45.7	1000.3	24.6
247.3	45.7	700.2	24.6
249.4	45.7	800.2	24.6
251.6	45.7	900.2	24.6
253.7	45.2	900.2	24.6
255.8	45.7	1000.3	24.6
258.0	46.2	700.2	24.6
260.1	45.7	900.2	24.6
262.2	46.2	1000.3	24.6
264.4	45.7	900.2	24.6
266.5	47.2	1000.2	24.6
268.6	46.2	900.2	24.6
270.8	47.2	1000.3	24.6
272.9	46.7	900.2	24.6
275.0	46.2	800.2	24.6
277.2	46.2	900.2	24.6
279.3	46.2	700.2	24.6
281.5	46.7	900.2	24.6
283.6	45.7	800.2	24.6
285.7	46.2	900.2	24.6
287.9	45.7	1000.3	24.6
290.0	45.7	700.2	24.6
292.1	45.7	900.2	24.6
294.3	46.2	900.2	24.6
296.4	46.2	1000.2	24.6
298.6	46.2	1000.3	24.6
300.7	47.2	600.2	24.6
303.0	47.7	600.2	24.6
305.3	50.1	1500.4	24.6
307.5	50.6	1500.3	24.6
309.6	52.5	1500.3	24.6
311.8	51.6	1500.3	24.6
314.0	53.0	1500.3	24.6
316.1	52.1	1500.3	24.6
318.3	53.0	1500.3	24.6
320.5	52.5	1500.3	24.6
322.6	52.1	1500.4	24.6
324.8	53.0	1500.4	24.6
327.0	53.5	1500.4	24.6
329.1	53.0	1500.4	24.6
331.3	52.5	1500.3	24.6
333.4	53.0	1500.3	24.6
335.6	52.5	1500.3	24.6
337.8	53.0	1500.3	24.6
340.0	53.5	1500.4	24.6
342.1	53.0	1500.4	24.6
344.3	54.5	1500.4	24.6
346.5	54.0	1500.4	24.6
348.6	54.5	1500.3	24.6
350.8	55.0	1500.4	24.6
353.0	53.0	1500.3	24.6
355.1	54.5	1500.3	24.6
357.3	55.5	1500.3	24.6
359.5	55.0	1500.4	24.6
361.7	55.5	1500.3	24.6
363.8	54.5	1500.3	24.6
366.0	53.5	1500.3	24.6
368.2	54.5	1500.3	24.6
370.3	55.5	1500.4	24.6
372.5	55.5	1500.4	24.6
374.7	55.0	1500.3	24.6
376.9	56.0	1500.4	24.6
379.0	55.0	1500.3	24.6
381.2	54.5	1500.3	24.6
383.4	55.0	1500.3	24.6
385.6	56.0	1500.3	24.6
387.7	55.5	1500.3	24.6
389.9	56.0	1500.4	24.6
392.1	55.5	1500.3	24.6
394.2	55.5	1500.3	24.6
396.4	56.0	1500.4	24.6
398.5	56.0	1500.4	24.6
400.7	55.5	1500.3	24.6
402.9	56.0	1500.4	24.6
405.0	56.9	1500.3	24.6
407.2	56.4	1500.4	24.6
409.4	56.0	1500.3	24.6
411.6	56.0	1500.3	24.6
413.7	56.4	1500.3	24.6
415.9	55.5	1500.3	24.6
418.1	55.5	1500.4	24.6
420.2	56.0	1500.4	24.6
422.4	56.4	1500.4	24.6
424.6	55.5	1500.4	24.6
426.8	56.4	1500.4	24.6
428.9	56.0	1500.3	24.6
431.1	56.9	1500.3	24.6
433.3	57.4	1500.4	24.6
435.4	56.4	1500.3	24.6
437.6	57.4	1500.4	24.6
439.8	57.4	1500.3	24.6
441.9	56.9	1500.3	24.6
444.1	56.9	1500.3	24.6
446.3	56.4	1500.3	24.6
448.4	57.9	1500.4	24.6
450.6	56.0	1500.3	24.6
452.8	57.9	1500.4	24.6
454.9	56.9	1500.3	24.6
457.1	56.9	1500.4	24.6
459.3	57.9	1500.3	24.6
461.5	57.9	1500.3	24.6
463.6	57.9	1500.4	24.6
465.8	57.4	1500.3	24.6
468.0	58.4	1500.4	24.6
470.2	57.4	1500.3	24.6
472.3	56.9	1500.3	24.6
474.5	58.4	1500.4	24.6
476.6	57.4	1500.3	24.6
478.8	56.9	1500.3	24.6
481.0	58.4	1500.4	24.6
483.2	56.9	1500.4	24.6
485.3	58.9	1500.4	24.6
487.5	57.9	1500.3	24.6
489.7	57.9	1500.3	24.6
491.9	57.9	1500.4	24.6
494.0	57.9	1500.4	24.6
496.2	58.9	1500.4	24.6
498.4	58.4	1500.4	24.6
500.6	57.9	1500.3	24.6
502.7	58.4	1500.4	24.6
504.9	59.4	1500.4	24.6
507.1	58.9	1500.4	24.6
509.2	58.4	1500.4	24.6
511.4	58.9	1500.4	24.6
513.6	58.4	1500.4	24.6
515.8	58.9	1500.3	24.6
517.9	58.4	1500.3	24.6
520.1	59.4	1500.3	24.6
522.3	58.9	1500.4	24.6
524.4	58.4	1500.3	24.6
526.6	58.9	1500.4	24.6
528.8	58.9	1500.3	24.6
531.0	58.9	1500.3	24.6
533.2	58.9	1500.4	24.6
535.3	59.4	1500.3	24.6
537.5	59.9	1500.3	24.6
539.7	58.9	1500.4	24.6
541.9	59.4	1500.4	24.6
544.0	58.4	1500.4	24.6
546.2	59.4	1500.3	24.6
548.4	57.9	1500.3	24.6
550.6	58.9	1500.3	24.6
552.8	59.4	1500.3	24.6
554.9	60.3	1500.3	24.6
557.1	59.9	1500.3	24.6
559.3	59.9	1500.4	24.6
561.4	59.4	1500.4	24.6
563.6	59.9	1500.3	24.6
565.8	60.3	1500.3	24.6
568.0	60.8	1500.3	24.6
570.1	59.9	1500.3	24.6
572.3	59.4	1500.3	24.6
574.5	58.9	1500.3	24.6
576.6	59.9	1500.4	24.6
578.8	59.9	1500.3	24.6
581.0	61.3	1500.3	24.6
583.2	59.4	1500.3	24.6
585.4	59.9	1500.3	24.6
587.5	59.4	1500.4	24.6
589.7	60.3	1500.4	24.6
591.9	59.9	1500.4	24.6
594.0	58.9	1500.3	24.6
596.2	59.9	1500.4	24.6
598.4	60.8	1500.4	24.6
600.6	60.3	1500.3	24.6
602.7	59.9	1500.4	24.6
604.9	60.3	1500.4	24.6
607.1	60.3	1500.4	24.6
609.2	60.8	1500.3	24.6
611.4	60.8	1500.3	24.6
613.6	61.3	1500.4	24.6
615.8	60.8	1500.4	24.6
617.9	60.3	1500.3	24.6
620.1	60.3	1500.4	24.6
622.2	60.3	1500.3	24.6
624.4	60.3	1500.3	24.6
626.6	60.3	1500.3	24.6
628.7	60.3	1500.4	24.6
630.9	61.3	1500.3	24.6
633.1	61.3	1500.4	24.6
635.3	60.8	1500.4	24.6
637.4	60.8	1500.3	24.6
639.6	59.9	1500.4	24.6
641.8	59.9	1500.3	24.6
