Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	35.5	1500.3	29.1
2.1	35.5	800.2	29.1
4.3	35.0	1000.2	29.1
6.5	36.5	900.2	29.1
8.6	37.4	1000.3	29.1
10.8	36.0	800.2	29.1
13.0	35.5	1000.2	29.1
15.1	36.0	900.2	29.1
17.3	36.0	900.2	29.1
19.4	36.5	1000.2	29.1
21.6	36.0	900.2	29.1
23.8	35.5	1000.3	29.1
25.9	35.5	1000.3	29.1
28.1	36.5	900.2	29.1
30.3	36.5	900.2	29.1
32.4	36.0	1000.3	29.1
34.6	36.5	900.2	29.1
36.7	36.0	1000.3	29.1
38.9	35.5	900.2	29.1
41.1	35.5	1500.4	29.1
43.2	36.0	1000.3	29.1
45.4	36.0	800.2	29.1
47.5	36.0	900.2	29.1
49.7	36.0	900.2	29.1
51.9	36.5	900.2	29.1
54.0	36.5	900.2	29.1
56.2	37.0	900.2	29.1
58.3	36.0	1000.3	29.1
60.5	36.5	1000.3	29.1
62.6	36.5	800.2	29.1
64.8	35.5	1000.3	29.1
67.0	37.0	800.2	29.2
69.1	35.5	1000.2	29.2
71.3	35.0	1000.3	29.1
73.5	36.5	800.2	29.2
75.6	35.5	900.2	29.2
77.8	36.0	900.2	29.2
80.0	35.5	1000.2	29.2
82.1	37.0	1000.3	29.2
84.3	36.0	1000.2	29.2
86.4	35.0	1000.3	29.2
88.6	36.0	1000.3	29.2
90.8	36.0	900.2	29.2
92.9	36.0	1500.4	29.2
95.0	35.5	1000.2	29.2
97.2	35.5	900.2	29.2
99.4	36.0	1000.3	29.2
101.5	36.5	1000.3	29.2
103.7	35.5	900.2	29.2
105.9	35.5	1000.2	29.2
108.0	37.0	1000.3	29.2
110.2	36.5	800.2	29.1
112.3	36.0	1000.3	29.1
114.5	36.0	1000.2	29.1
116.7	36.0	1000.3	29.1
118.8	35.5	900.2	29.1
121.0	35.5	900.2	29.1
123.1	36.5	1500.3	29.1
125.2	36.0	900.2	29.1
127.4	36.5	1000.2	29.1
129.6	36.0	800.2	29.1
131.7	36.0	1000.3	29.1
133.9	37.0	900.2	29.1
136.1	36.5	900.2	29.1
138.2	36.0	1500.4	29.1
140.4	37.0	1000.2	29.1
142.5	36.0	1000.3	29.1
144.7	37.4	900.2	29.1
146.8	35.5	1000.3	29.1
149.0	35.5	1000.3	29.1
151.2	36.5	900.2	29.1
153.3	37.0	1000.2	29.1
155.5	35.0	900.2	29.1
157.6	36.5	900.2	29.1
159.8	36.0	900.2	29.1
162.0	36.0	1000.2	29.1
164.1	35.5	1000.3	29.1
166.3	36.5	1000.2	29.1
168.4	36.0	1000.2	29.1
170.6	36.0	1000.3	29.1
172.7	35.5	900.2	29.1
174.9	37.0	1000.3	29.1
177.1	36.5	1500.4	29.1
179.2	36.0	900.2	29.0
181.4	37.0	900.2	29.1
183.5	36.0	1500.4	29.1
185.7	36.5	800.2	29.1
187.9	36.0	1000.3	29.1
190.0	36.0	1000.3	29.1
192.2	34.5	1000.3	29.1
194.3	36.0	800.2	29.1
196.5	36.0	900.2	29.1
198.7	36.5	1500.4	29.1
200.8	36.5	1000.3	29.1
203.0	36.0	900.2	29.1
205.1	35.5	1000.2	29.1
207.3	36.5	1500.4	29.1
209.4	35.5	1000.3	29.1
211.6	36.0	900.2	29.1
213.8	35.5	1000.3	29.1
215.9	36.0	900.2	29.1
218.1	36.5	1500.3	29.1
220.2	35.5	800.2	29.1
222.4	36.5	900.2	29.1
224.6	36.0	800.2	29.1
226.7	36.5	900.2	29.1
228.9	35.5	1500.4	29.1
231.0	36.5	900.2	29.1
233.2	35.5	1500.4	29.1
235.3	36.0	900.2	29.1
237.5	37.0	1000.2	29.1
239.7	36.5	1500.4	29.1
241.8	37.0	1000.2	29.1
244.0	35.5	900.2	29.1
246.1	36.0	900.2	29.1
248.3	35.0	800.2	29.1
250.5	36.5	1000.2	29.1
252.6	36.0	1000.3	29.1
254.8	36.0	1500.3	29.1
256.9	36.5	900.2	29.1
259.1	37.4	900.2	29.1
261.2	36.0	1000.3	29.1
263.4	36.0	1000.3	29.1
265.6	35.5	1000.3	29.0
267.7	36.5	1000.3	29.0
269.9	36.0	1000.3	29.0
272.0	36.5	1000.2	29.0
274.2	37.0	1500.3	29.0
276.4	36.5	900.2	29.0
278.5	35.5	1000.2	29.0
280.7	35.5	900.2	29.0
282.8	36.0	1500.3	29.0
285.0	35.5	900.2	29.0
287.1	36.0	1000.3	29.0
289.3	36.5	900.2	29.0
291.5	36.0	1000.3	29.0
293.6	36.0	1000.3	29.0
295.8	35.5	1000.3	29.0
298.0	36.5	900.2	29.0
300.1	36.0	1500.3	29.0
302.4	39.9	1500.3	29.0
304.6	40.9	1500.3	29.0
306.8	40.4	1500.4	29.0
309.0	41.3	1500.4	29.0
311.2	40.4	1500.3	29.0
313.4	41.3	1500.3	29.0
315.6	40.9	1500.3	29.0
317.8	41.8	1500.3	29.0
320.0	42.3	1500.3	29.0
322.2	41.8	1500.3	29.0
324.4	41.3	1500.3	29.0
326.5	41.8	1500.3	29.0
328.7	41.8	1500.4	29.0
330.9	42.8	1500.3	29.0
333.1	41.8	1500.3	29.0
335.3	41.3	1500.3	29.0
337.5	41.8	1500.4	29.1
339.7	42.8	1500.4	29.1
341.9	42.8	1500.4	29.1
344.1	42.8	1500.3	29.1
346.3	43.3	1500.3	29.1
348.5	43.3	1500.4	29.1
350.7	43.3	1500.3	29.1
352.9	42.8	1500.3	29.1
355.1	42.3	1500.3	29.1
357.3	43.3	1500.3	29.1
359.5	42.8	1500.3	29.1
361.7	42.8	1500.3	29.1
363.9	43.8	1500.4	29.1
366.0	43.8	1500.3	29.1
368.3	43.3	1500.3	29.1
370.5	42.8	1500.3	29.1
372.7	43.8	1500.3	29.1
374.9	42.8	1500.4	29.1
377.0	43.8	1500.4	29.1
379.3	43.8	1500.4	29.1
381.5	43.8	1500.4	29.1
383.6	43.3	1500.3	29.1
385.8	43.8	1500.4	29.1
388.0	43.3	1500.3	29.1
390.2	43.8	1500.3	29.1
392.4	43.3	1500.3	29.1
394.6	43.8	1500.4	29.1
396.8	43.8	1500.4	29.1
399.0	43.8	1500.4	29.1
401.2	43.3	1500.3	29.1
403.4	44.3	1500.4	29.1
405.5	43.3	1500.3	29.1
407.7	44.3	1500.3	29.1
409.9	44.3	1500.4	29.1
412.1	43.3	1500.3	29.1
414.3	44.8	1500.3	29.1
416.5	43.8	1500.4	29.1
418.7	43.3	1500.4	29.1
420.9	44.8	1500.3	29.1
423.1	43.3	1500.4	29.1
