Time	CPU Temperature	CPU Frequency	Ambient Temperature
0.0	47.8	800.0	23.2
2.2	47.8	800.0	23.2
4.3	47.8	800.0	23.2
6.5	48.3	1400.0	23.2
8.6	47.8	800.0	23.2
10.8	47.8	800.0	23.2
12.9	48.3	800.0	23.2
15.0	47.8	800.0	23.2
17.2	47.8	800.0	23.2
19.3	47.8	800.0	23.2
21.5	48.3	800.0	23.2
23.6	48.3	800.0	23.2
25.8	48.3	800.0	23.2
27.9	47.8	800.0	23.2
30.1	48.3	700.0	23.2
32.2	47.8	900.0	23.2
34.4	48.3	800.0	23.2
36.5	48.3	800.0	23.2
38.7	48.3	900.0	23.2
40.8	48.3	800.0	23.2
43.0	47.8	800.0	23.2
45.1	48.3	800.0	23.2
47.2	47.8	900.0	23.2
49.4	48.3	800.0	23.2
51.5	48.3	800.0	23.2
53.7	48.3	700.0	23.2
55.8	48.3	800.0	23.2
58.0	48.3	800.0	23.2
60.1	48.3	800.0	23.2
62.3	48.3	900.0	23.2
64.4	48.3	800.0	23.2
66.5	48.3	800.0	23.2
68.7	48.3	800.0	23.2
70.8	48.9	800.0	23.2
73.0	48.3	800.0	23.2
75.1	48.3	800.0	23.2
77.3	48.9	800.0	23.2
79.4	48.3	900.0	23.2
81.6	48.9	700.0	23.2
83.7	48.3	800.0	23.2
85.9	48.3	800.0	23.2
88.0	48.9	800.0	23.2
90.2	48.3	800.0	23.2
92.3	48.3	800.0	23.2
94.5	48.3	800.0	23.2
96.6	48.3	800.0	23.2
98.8	48.3	800.0	23.2
100.9	48.3	700.0	23.2
103.1	48.3	800.0	23.2
105.2	48.3	800.0	23.2
107.4	49.4	1400.0	23.2
109.5	48.9	800.0	23.2
111.6	48.9	900.0	23.2
113.8	48.3	800.0	23.2
115.9	48.3	800.0	23.2
118.1	48.3	800.0	23.2
120.2	48.3	700.0	23.2
122.4	48.9	1000.0	23.2
124.5	48.3	800.0	23.2
126.7	48.3	800.0	23.2
128.8	48.9	800.0	23.2
130.9	48.3	900.0	23.2
133.1	48.3	800.0	23.2
135.2	48.9	800.0	23.2
137.4	48.3	800.0	23.2
139.5	48.3	800.0	23.2
141.7	48.3	800.0	23.2
143.8	48.9	800.0	23.2
146.0	48.9	700.0	23.2
148.1	49.4	800.0	23.2
150.3	48.9	900.0	23.2
152.4	48.3	800.0	23.2
154.6	48.3	800.0	23.2
156.7	49.4	900.0	23.2
158.9	49.4	800.0	23.2
161.0	48.9	800.0	23.2
163.2	48.3	800.0	23.2
165.3	48.3	800.0	23.2
167.5	48.3	800.0	23.2
169.6	49.4	800.0	23.2
171.7	49.4	800.0	23.2
173.9	49.4	800.0	23.2
176.0	48.9	800.0	23.2
178.2	48.3	800.0	23.2
180.3	49.4	800.0	23.2
182.5	49.4	700.0	23.2
184.6	49.4	800.0	23.2
186.8	49.4	800.0	23.2
188.9	49.4	800.0	23.2
191.1	48.9	800.0	23.2
193.2	48.9	800.0	23.2
195.4	48.9	800.0	23.2
197.5	49.4	800.0	23.2
199.7	49.4	800.0	23.2
201.8	49.4	800.0	23.2
204.0	48.3	800.0	23.2
206.1	49.4	800.0	23.2
208.3	48.9	1400.0	23.2
210.4	49.4	700.0	23.2
212.5	49.4	800.0	23.2
214.7	48.9	800.0	23.2
216.8	49.4	900.0	23.2
219.0	48.9	800.0	23.2
221.1	49.4	800.0	23.2
223.3	49.4	900.0	23.2
225.4	49.4	800.0	23.2
227.6	49.4	800.0	23.2
229.7	48.9	800.0	23.2
231.9	49.4	900.0	23.2
234.0	49.9	800.0	23.2
236.1	49.4	800.0	23.2
238.3	49.4	800.0	23.2
240.4	49.4	800.0	23.2
242.6	48.9	800.0	23.2
244.7	49.4	800.0	23.2
246.9	49.4	800.0	23.2
249.0	49.4	800.0	23.2
251.2	49.4	800.0	23.2
253.3	49.4	800.0	23.2
255.5	49.4	800.0	23.2
257.6	49.4	700.0	23.2
259.8	49.4	800.0	23.2
261.9	49.4	800.0	23.2
264.1	49.9	800.0	23.2
266.2	49.4	800.0	23.2
268.4	49.4	800.0	23.2
270.5	49.4	800.0	23.2
272.7	49.4	800.0	23.2
274.8	49.4	800.0	23.2
276.9	49.4	800.0	23.2
279.1	49.4	800.0	23.2
281.2	49.4	800.0	23.2
283.4	48.9	800.0	23.2
285.5	48.9	800.0	23.2
287.7	49.4	800.0	23.2
289.8	49.4	800.0	23.2
292.0	49.4	800.0	23.2
294.1	49.4	1000.0	23.2
296.2	49.4	800.0	23.2
298.4	49.9	800.0	23.2
300.5	49.4	1400.0	23.2
302.8	50.5	1400.0	23.2
305.0	51.5	1400.0	23.2
307.2	52.1	1400.0	23.2
309.5	52.1	1400.0	23.2
311.7	52.6	1400.0	23.2
313.9	52.1	1400.0	23.2
316.1	52.6	1400.0	23.2
318.4	52.6	1400.0	23.2
320.6	52.6	1400.0	23.2
322.8	53.2	1400.0	23.2
325.1	53.2	1400.0	23.2
327.3	53.2	1400.0	23.2
329.5	54.2	1400.0	23.2
331.8	53.2	1400.0	23.2
334.0	53.7	1400.0	23.2
336.2	53.7	1400.0	23.2
338.5	53.7	1400.0	23.2
340.7	53.7	1400.0	23.2
343.0	53.7	1400.0	23.2
345.2	53.7	1400.0	23.2
347.5	54.8	1400.0	23.2
349.8	54.2	1400.0	23.2
352.0	53.7	1400.0	23.2
354.3	54.2	1400.0	23.2
356.5	53.7	1400.0	23.2
358.7	54.8	1400.0	23.2
361.0	54.8	1400.0	23.2
363.2	54.8	1400.0	23.2
365.4	54.2	1400.0	23.2
367.7	54.2	1400.0	23.2
369.9	54.8	1400.0	23.2
372.1	54.8	1400.0	23.2
374.4	54.8	1400.0	23.2
376.6	54.8	1400.0	23.2
378.8	54.8	1400.0	23.2
381.0	55.8	1400.0	23.2
383.3	54.8	1400.0	23.2
385.5	55.8	1400.0	23.2
387.7	55.3	1400.0	23.2
390.0	55.8	1400.0	23.2
392.2	55.3	1400.0	23.2
394.4	55.8	1400.0	23.2
396.6	55.8	1400.0	23.2
398.9	56.4	1400.0	23.2
401.1	54.8	1400.0	23.2
403.4	55.8	1400.0	23.2
405.6	55.8	1400.0	23.2
407.8	55.3	1400.0	23.2
410.1	55.8	1400.0	23.2
412.3	55.8	1400.0	23.2
414.6	55.8	1400.0	23.2
416.8	55.8	1400.0	23.2
419.1	55.8	1400.0	23.2
421.3	55.8	1400.0	23.2
423.5	55.8	1400.0	23.2
425.8	55.8	1400.0	23.2
428.0	55.8	1400.0	23.2
430.2	55.8	1400.0	23.2
432.4	56.4	1400.0	23.2
434.7	55.8	1400.0	23.2
436.9	55.8	1400.0	23.2
439.1	55.8	1400.0	23.2
441.4	55.8	1400.0	23.2
443.6	56.9	1400.0	23.2
445.9	56.4	1400.0	23.2
448.1	56.9	1400.0	23.2
450.3	56.9	1400.0	23.2
452.6	56.4	1400.0	23.2
454.8	56.9	1400.0	23.2
457.0	56.9	1400.0	23.2
459.3	56.9	1400.0	23.2
461.5	56.9	1400.0	23.2
463.8	56.9	1400.0	23.2
